feature,lag,importance
returns,31,0.035349179059267044
log_returns,31,0.04495653882622719
volatility,31,0.042122408747673035
range,31,0.039471499621868134
volume,31,0.04326276108622551
returns,30,0.03799010440707207
log_returns,30,0.04018144682049751
volatility,30,0.03865119069814682
range,30,0.045974887907505035
volume,30,0.04166437312960625
returns,29,0.040469106286764145
log_returns,29,0.03534282371401787
volatility,29,0.03914372995495796
range,29,0.0362522192299366
volume,29,0.04094076529145241
returns,28,0.03917241841554642
log_returns,28,0.0379570908844471
volatility,28,0.03793402388691902
range,28,0.03915548697113991
volume,28,0.04283694550395012
returns,27,0.03782574459910393
log_returns,27,0.043796516954898834
volatility,27,0.032543081790208817
range,27,0.039913419634103775
volume,27,0.03753477334976196
returns,26,0.04268905892968178
log_returns,26,0.037005215883255005
volatility,26,0.03471735864877701
range,26,0.0403887964785099
volume,26,0.038707952946424484
returns,25,0.03755256533622742
log_returns,25,0.04184457287192345
volatility,25,0.04421689733862877
range,25,0.04332159832119942
volume,25,0.03821083530783653
returns,24,0.03970737010240555
log_returns,24,0.04102177172899246
volatility,24,0.04229792580008507
range,24,0.03696858137845993
volume,24,0.04054449498653412
returns,23,0.044459905475378036
log_returns,23,0.03465520218014717
volatility,23,0.03985792398452759
range,23,0.03857852891087532
volume,23,0.040494922548532486
returns,22,0.03814759477972984
log_returns,22,0.0413517951965332
volatility,22,0.03541199490427971
range,22,0.039649348706007004
volume,22,0.04007459059357643
returns,21,0.03395069018006325
log_returns,21,0.039281945675611496
volatility,21,0.04199688136577606
range,21,0.04006246104836464
volume,21,0.04143061116337776
returns,20,0.035992175340652466
log_returns,20,0.03768777847290039
volatility,20,0.040712036192417145
range,20,0.0383726991713047
volume,20,0.0438537523150444
returns,19,0.04488565772771835
log_returns,19,0.044066037982702255
volatility,19,0.041562519967556
range,19,0.03748127445578575
volume,19,0.03810830041766167
returns,18,0.03918185830116272
log_returns,18,0.039969611912965775
volatility,18,0.03773226961493492
range,18,0.038970306515693665
volume,18,0.03537717089056969
returns,17,0.04008319601416588
log_returns,17,0.03298882395029068
volatility,17,0.04092351347208023
range,17,0.04366053640842438
volume,17,0.04039490222930908
returns,16,0.04080750420689583
log_returns,16,0.04162578657269478
volatility,16,0.04040764272212982
range,16,0.03697417676448822
volume,16,0.038544557988643646
returns,15,0.04158645495772362
log_returns,15,0.03903819993138313
volatility,15,0.042532533407211304
range,15,0.042218320071697235
volume,15,0.03832032158970833
returns,14,0.038236357271671295
log_returns,14,0.0419425368309021
volatility,14,0.03918970748782158
range,14,0.03850696235895157
volume,14,0.037980325520038605
returns,13,0.045698702335357666
log_returns,13,0.03649822622537613
volatility,13,0.042471591383218765
range,13,0.043581340461969376
volume,13,0.04290328919887543
returns,12,0.04294677451252937
log_returns,12,0.039152611047029495
volatility,12,0.04235194995999336
range,12,0.040248528122901917
volume,12,0.044578514993190765
returns,11,0.04073689505457878
log_returns,11,0.04119911044836044
volatility,11,0.03991488367319107
range,11,0.03693851828575134
volume,11,0.04172910377383232
returns,10,0.04362048953771591
log_returns,10,0.03597051277756691
volatility,10,0.03660959005355835
range,10,0.04200892522931099
volume,10,0.036811575293540955
returns,9,0.03985914960503578
log_returns,9,0.039834074676036835
volatility,9,0.03807966783642769
range,9,0.03919709101319313
volume,9,0.03752893581986427
returns,8,0.04112706705927849
log_returns,8,0.04129268229007721
volatility,8,0.04280231148004532
range,8,0.041481856256723404
volume,8,0.03844120353460312
returns,7,0.044361528009176254
log_returns,7,0.041397158056497574
volatility,7,0.038337383419275284
range,7,0.04051833227276802
volume,7,0.04303564503788948
returns,6,0.04271405562758446
log_returns,6,0.038994964212179184
volatility,6,0.04005371406674385
range,6,0.036669887602329254
volume,6,0.03821605443954468
returns,5,0.038100555539131165
log_returns,5,0.042477842420339584
volatility,5,0.03891104832291603
range,5,0.043132293969392776
volume,5,0.038627468049526215
returns,4,0.03967980667948723
log_returns,4,0.03904300555586815
volatility,4,0.03795105218887329
range,4,0.037650082260370255
volume,4,0.03767269477248192
returns,3,0.039262592792510986
log_returns,3,0.03725322335958481
volatility,3,0.03343116492033005
range,3,0.03632702678442001
volume,3,0.03855691850185394
returns,2,0.03301514312624931
log_returns,2,0.042002756148576736
volatility,2,0.03692283853888512
range,2,0.03831571340560913
volume,2,0.0421673022210598
returns,1,0.03639958053827286
log_returns,1,0.0375206284224987
volatility,1,0.039669137448072433
range,1,0.037386324256658554
volume,1,0.041822537779808044
returns,0,0.041802894324064255
log_returns,0,0.03867454454302788
volatility,0,0.03223404660820961
range,0,0.03906167298555374
volume,0,0.035422928631305695
