feature,lag,importance
returns,31,0.04053431749343872
log_returns,31,0.03561689704656601
volatility,31,0.04128049314022064
range,31,0.042726799845695496
volume,31,0.04383556917309761
returns,30,0.039547812193632126
log_returns,30,0.03843499720096588
volatility,30,0.04493999481201172
range,30,0.0369781032204628
volume,30,0.038853615522384644
returns,29,0.03716285154223442
log_returns,29,0.040448326617479324
volatility,29,0.038869891315698624
range,29,0.04065795615315437
volume,29,0.042087480425834656
returns,28,0.03691347315907478
log_returns,28,0.03990260139107704
volatility,28,0.04061718285083771
range,28,0.0432339645922184
volume,28,0.04256356507539749
returns,27,0.041075561195611954
log_returns,27,0.03457656502723694
volatility,27,0.04034466668963432
range,27,0.03948283568024635
volume,27,0.033314794301986694
returns,26,0.03714492917060852
log_returns,26,0.0398675836622715
volatility,26,0.03793115168809891
range,26,0.03788752853870392
volume,26,0.03964217007160187
returns,25,0.03708215802907944
log_returns,25,0.04001083970069885
volatility,25,0.03924285247921944
range,25,0.03700021281838417
volume,25,0.045064471662044525
returns,24,0.03999730572104454
log_returns,24,0.04134847968816757
volatility,24,0.034804679453372955
range,24,0.0394478514790535
volume,24,0.037878669798374176
returns,23,0.040250107645988464
log_returns,23,0.040108419954776764
volatility,23,0.039866432547569275
range,23,0.04110429063439369
volume,23,0.03547787293791771
returns,22,0.04232071712613106
log_returns,22,0.03692305088043213
volatility,22,0.04111310467123985
range,22,0.04126664996147156
volume,22,0.035640422254800797
returns,21,0.040912214666604996
log_returns,21,0.0411636121571064
volatility,21,0.04307892546057701
range,21,0.0423680879175663
volume,21,0.04399459436535835
returns,20,0.04161907732486725
log_returns,20,0.04385063797235489
volatility,20,0.035465821623802185
range,20,0.04292232170701027
volume,20,0.04183075204491615
returns,19,0.040781691670417786
log_returns,19,0.04067784547805786
volatility,19,0.040428731590509415
range,19,0.03811609745025635
volume,19,0.03733031451702118
returns,18,0.04185175150632858
log_returns,18,0.044891152530908585
volatility,18,0.04001186043024063
range,18,0.03515109419822693
volume,18,0.03986687213182449
returns,17,0.03515591099858284
log_returns,17,0.04262346029281616
volatility,17,0.0394546240568161
range,17,0.03960456699132919
volume,17,0.04096714407205582
returns,16,0.04036691039800644
log_returns,16,0.043282054364681244
volatility,16,0.04366547241806984
range,16,0.0411980077624321
volume,16,0.04061609134078026
returns,15,0.03557739406824112
log_returns,15,0.04048344865441322
volatility,15,0.03918867185711861
range,15,0.04275934398174286
volume,15,0.03758068382740021
returns,14,0.04235297068953514
log_returns,14,0.03643525019288063
volatility,14,0.039069388061761856
range,14,0.04092680290341377
volume,14,0.03987874835729599
returns,13,0.03632639721035957
log_returns,13,0.04069119319319725
volatility,13,0.03788664564490318
range,13,0.040400560945272446
volume,13,0.04307139664888382
returns,12,0.042460717260837555
log_returns,12,0.03870091587305069
volatility,12,0.037531767040491104
range,12,0.03436535596847534
volume,12,0.04186234623193741
returns,11,0.040153149515390396
log_returns,11,0.03670686483383179
volatility,11,0.04176554083824158
range,11,0.046424634754657745
volume,11,0.03957408294081688
returns,10,0.037361882627010345
log_returns,10,0.043775901198387146
volatility,10,0.037721145898103714
range,10,0.03658502176403999
volume,10,0.041311539709568024
returns,9,0.043663859367370605
log_returns,9,0.04165039211511612
volatility,9,0.03825303539633751
range,9,0.03470885381102562
volume,9,0.043658725917339325
returns,8,0.03943480923771858
log_returns,8,0.03545797988772392
volatility,8,0.04172753170132637
range,8,0.03892001509666443
volume,8,0.040566250681877136
returns,7,0.03711717575788498
log_returns,7,0.03988693654537201
volatility,7,0.040985386818647385
range,7,0.03398602083325386
volume,7,0.040309373289346695
returns,6,0.03975464776158333
log_returns,6,0.0440555103123188
volatility,6,0.038261041045188904
range,6,0.04116642475128174
volume,6,0.04001198336482048
returns,5,0.03951551020145416
log_returns,5,0.04093314707279205
volatility,5,0.039264921098947525
range,5,0.03878166154026985
volume,5,0.03831537067890167
returns,4,0.03760330379009247
log_returns,4,0.03768967464566231
volatility,4,0.04271222651004791
range,4,0.03830268979072571
volume,4,0.03602450713515282
returns,3,0.04124840721487999
log_returns,3,0.04111149534583092
volatility,3,0.04230363667011261
range,3,0.03435599058866501
volume,3,0.03901122882962227
returns,2,0.034057166427373886
log_returns,2,0.034267645329236984
volatility,2,0.03504203259944916
range,2,0.0405045822262764
volume,2,0.03680459409952164
returns,1,0.04264064505696297
log_returns,1,0.04039386287331581
volatility,1,0.037694163620471954
range,1,0.04361078143119812
volume,1,0.036727357655763626
returns,0,0.03483184054493904
log_returns,0,0.04042372852563858
volatility,0,0.04257064312696457
range,0,0.04095374792814255
volume,0,0.036931972950696945
