feature,lag,importance
returns,31,0.041035253554582596
log_returns,31,0.0356183722615242
volatility,31,0.04127125069499016
range,31,0.042891886085271835
volume,31,0.04486909508705139
returns,30,0.03970314934849739
log_returns,30,0.039229605346918106
volatility,30,0.04465023800730705
range,30,0.0370614156126976
volume,30,0.03907473757863045
returns,29,0.03656782954931259
log_returns,29,0.03913874924182892
volatility,29,0.038947250694036484
range,29,0.04125126823782921
volume,29,0.042552608996629715
returns,28,0.038376208394765854
log_returns,28,0.040394898504018784
volatility,28,0.04122878238558769
range,28,0.0429953970015049
volume,28,0.04187197983264923
returns,27,0.04129470884799957
log_returns,27,0.03468961641192436
volatility,27,0.0401686392724514
range,27,0.03908217325806618
volume,27,0.033436376601457596
returns,26,0.038978543132543564
log_returns,26,0.04142008721828461
volatility,26,0.03755360096693039
range,26,0.03778282552957535
volume,26,0.0385420136153698
returns,25,0.03770140931010246
log_returns,25,0.04071476310491562
volatility,25,0.03989622741937637
range,25,0.03723396733403206
volume,25,0.04439600184559822
returns,24,0.039603304117918015
log_returns,24,0.04152950271964073
volatility,24,0.035254690796136856
range,24,0.03903314843773842
volume,24,0.038246165961027145
returns,23,0.040801823139190674
log_returns,23,0.04123343899846077
volatility,23,0.04029330983757973
range,23,0.041535235941410065
volume,23,0.03493688255548477
returns,22,0.0417480506002903
log_returns,22,0.03648124262690544
volatility,22,0.041177019476890564
range,22,0.04134128987789154
volume,22,0.03593624383211136
returns,21,0.04131243750452995
log_returns,21,0.04253769293427467
volatility,21,0.04299803078174591
range,21,0.04217199981212616
volume,21,0.04332578182220459
returns,20,0.042786791920661926
log_returns,20,0.0430462621152401
volatility,20,0.03460118919610977
range,20,0.043572716414928436
volume,20,0.04199786111712456
returns,19,0.04022347927093506
log_returns,19,0.040779583156108856
volatility,19,0.040834661573171616
range,19,0.038346678018569946
volume,19,0.03695276007056236
returns,18,0.04307333007454872
log_returns,18,0.04491858184337616
volatility,18,0.03981127217411995
range,18,0.03657928481698036
volume,18,0.03919036686420441
returns,17,0.03526706248521805
log_returns,17,0.042544569820165634
volatility,17,0.038762807846069336
range,17,0.04012768343091011
volume,17,0.04135631024837494
returns,16,0.04198874533176422
log_returns,16,0.04298669844865799
volatility,16,0.04410846158862114
range,16,0.04173685237765312
volume,16,0.039879586547613144
returns,15,0.03525416553020477
log_returns,15,0.04199032858014107
volatility,15,0.03851199522614479
range,15,0.04290638118982315
volume,15,0.037696290761232376
returns,14,0.04326093941926956
log_returns,14,0.036212172359228134
volatility,14,0.03872270509600639
range,14,0.041088543832302094
volume,14,0.04020438715815544
returns,13,0.03706587478518486
log_returns,13,0.041282769292593
volatility,13,0.03774850443005562
range,13,0.0406397320330143
volume,13,0.04252481088042259
returns,12,0.04335129261016846
log_returns,12,0.03864828124642372
volatility,12,0.03797103464603424
range,12,0.03427516669034958
volume,12,0.04159152880311012
returns,11,0.04047371447086334
log_returns,11,0.03730475902557373
volatility,11,0.04211720824241638
range,11,0.04622408375144005
volume,11,0.03994017466902733
returns,10,0.0376221165060997
log_returns,10,0.04401709884405136
volatility,10,0.03755940869450569
range,10,0.036326222121715546
volume,10,0.042196184396743774
returns,9,0.044348154217004776
log_returns,9,0.041309457272291183
volatility,9,0.038232237100601196
range,9,0.03542761504650116
volume,9,0.04326242208480835
returns,8,0.03979286924004555
log_returns,8,0.03669663891196251
volatility,8,0.042086053639650345
range,8,0.039223574101924896
volume,8,0.04038587957620621
returns,7,0.037122953683137894
log_returns,7,0.04082174971699715
volatility,7,0.04080512374639511
range,7,0.03358452022075653
volume,7,0.040285587310791016
returns,6,0.03905409947037697
log_returns,6,0.044145867228507996
volatility,6,0.03751518204808235
range,6,0.042238421738147736
volume,6,0.0396445170044899
returns,5,0.03887149691581726
log_returns,5,0.04041069746017456
volatility,5,0.03977050632238388
range,5,0.03911968693137169
volume,5,0.03999793529510498
returns,4,0.03688853606581688
log_returns,4,0.03774312138557434
volatility,4,0.04195574298501015
range,4,0.03846200183033943
volume,4,0.03618275746703148
returns,3,0.0391109362244606
log_returns,3,0.04068520665168762
volatility,3,0.0417768619954586
range,3,0.034248583018779755
volume,3,0.039077095687389374
returns,2,0.0334552563726902
log_returns,2,0.033543337136507034
volatility,2,0.03587033227086067
range,2,0.03969766944646835
volume,2,0.03679882735013962
returns,1,0.041039563715457916
log_returns,1,0.03880271315574646
volatility,1,0.0379955992102623
range,1,0.044318996369838715
volume,1,0.037153180688619614
returns,0,0.03420058637857437
log_returns,0,0.04058414325118065
volatility,0,0.04233861342072487
range,0,0.041505489498376846
volume,0,0.036822348833084106
