feature,lag,importance
returns,31,0.035800375044345856
log_returns,31,0.046234019100666046
volatility,31,0.042138028889894485
range,31,0.04016749933362007
volume,31,0.044219911098480225
returns,30,0.037367384880781174
log_returns,30,0.04057496041059494
volatility,30,0.038611166179180145
range,30,0.04587516188621521
volume,30,0.0414237342774868
returns,29,0.04045882448554039
log_returns,29,0.03534037992358208
volatility,29,0.039039865136146545
range,29,0.03715866804122925
volume,29,0.041332073509693146
returns,28,0.04063662886619568
log_returns,28,0.03938518464565277
volatility,28,0.037613462656736374
range,28,0.03716764971613884
volume,28,0.04233968257904053
returns,27,0.03720547631382942
log_returns,27,0.04249781370162964
volatility,27,0.03268297761678696
range,27,0.03986896574497223
volume,27,0.03809334710240364
returns,26,0.04281825199723244
log_returns,26,0.03746974840760231
volatility,26,0.03547600656747818
range,26,0.04086202755570412
volume,26,0.03921240568161011
returns,25,0.03753013163805008
log_returns,25,0.04199034348130226
volatility,25,0.04430602490901947
range,25,0.043452922254800797
volume,25,0.039369385689496994
returns,24,0.041158102452754974
log_returns,24,0.04141264408826828
volatility,24,0.04174299165606499
range,24,0.03929578885436058
volume,24,0.04111112281680107
returns,23,0.044586181640625
log_returns,23,0.03569142892956734
volatility,23,0.03934458643198013
range,23,0.03781083598732948
volume,23,0.040537282824516296
returns,22,0.03855104744434357
log_returns,22,0.0412851981818676
volatility,22,0.034714121371507645
range,22,0.040556322783231735
volume,22,0.04036993160843849
returns,21,0.033883411437273026
log_returns,21,0.03800823539495468
volatility,21,0.04286879301071167
range,21,0.03868168592453003
volume,21,0.041714735329151154
returns,20,0.036873262375593185
log_returns,20,0.03829148784279823
volatility,20,0.0409524068236351
range,20,0.03816034644842148
volume,20,0.043595608323812485
returns,19,0.04619753360748291
log_returns,19,0.044497326016426086
volatility,19,0.0435691736638546
range,19,0.03677944466471672
volume,19,0.038024332374334335
returns,18,0.038216181099414825
log_returns,18,0.03965824469923973
volatility,18,0.03687094897031784
range,18,0.038021985441446304
volume,18,0.03518686071038246
returns,17,0.04162568226456642
log_returns,17,0.032293420284986496
volatility,17,0.04011936113238335
range,17,0.04361994192004204
volume,17,0.03939215838909149
returns,16,0.0412626713514328
log_returns,16,0.04239611700177193
volatility,16,0.04046805202960968
range,16,0.03647451102733612
volume,16,0.03921189159154892
returns,15,0.04117625206708908
log_returns,15,0.04043273255228996
volatility,15,0.04249325767159462
range,15,0.042837172746658325
volume,15,0.037647977471351624
returns,14,0.03739800304174423
log_returns,14,0.041274167597293854
volatility,14,0.03938928619027138
range,14,0.03726767748594284
volume,14,0.038925688713788986
returns,13,0.04448516666889191
log_returns,13,0.037209659814834595
volatility,13,0.04128161817789078
range,13,0.043356746435165405
volume,13,0.04233876243233681
returns,12,0.043612606823444366
log_returns,12,0.03938755393028259
volatility,12,0.042334314435720444
range,12,0.04083443433046341
volume,12,0.04584091529250145
returns,11,0.041042398661375046
log_returns,11,0.04077348858118057
volatility,11,0.04093901813030243
range,11,0.03695371747016907
volume,11,0.04223530367016792
returns,10,0.04575987905263901
log_returns,10,0.03594650328159332
volatility,10,0.03666801005601883
range,10,0.04247133433818817
volume,10,0.03766028210520744
returns,9,0.039996158331632614
log_returns,9,0.04057837650179863
volatility,9,0.03887667879462242
range,9,0.03858982026576996
volume,9,0.037787336856126785
returns,8,0.04210812970995903
log_returns,8,0.04180699586868286
volatility,8,0.04263707250356674
range,8,0.041489433497190475
volume,8,0.03930562362074852
returns,7,0.04499148204922676
log_returns,7,0.0422680489718914
volatility,7,0.03808693215250969
range,7,0.04186442121863365
volume,7,0.04383484274148941
returns,6,0.04332374781370163
log_returns,6,0.039335913956165314
volatility,6,0.04025672376155853
range,6,0.036522138863801956
volume,6,0.03773971274495125
returns,5,0.0372605137526989
log_returns,5,0.042352017015218735
volatility,5,0.03772734850645065
range,5,0.04373975470662117
volume,5,0.03868886083364487
returns,4,0.03885819390416145
log_returns,4,0.04085696116089821
volatility,4,0.03888063132762909
range,4,0.03760799020528793
volume,4,0.036990147083997726
returns,3,0.04023244231939316
log_returns,3,0.03679996356368065
volatility,3,0.033307839184999466
range,3,0.035356052219867706
volume,3,0.038877714425325394
returns,2,0.033841703087091446
log_returns,2,0.04308604076504707
volatility,2,0.037053678184747696
range,2,0.03924006223678589
volume,2,0.04084005579352379
returns,1,0.037039730697870255
log_returns,1,0.03737020492553711
volatility,1,0.04031594470143318
range,1,0.03699156641960144
volume,1,0.04164866358041763
returns,0,0.04299268126487732
log_returns,0,0.03812309354543686
volatility,0,0.03306375443935394
range,0,0.040407683700323105
volume,0,0.035055577754974365
