feature,lag,importance
returns,31,0.03993427753448486
log_returns,31,0.03519869223237038
volatility,31,0.04118790104985237
range,31,0.04329982027411461
volume,31,0.045413076877593994
returns,30,0.03889982029795647
log_returns,30,0.03804665803909302
volatility,30,0.04475342482328415
range,30,0.03605470061302185
volume,30,0.038124848157167435
returns,29,0.03831152617931366
log_returns,29,0.03867051377892494
volatility,29,0.039474885910749435
range,29,0.0404135063290596
volume,29,0.042285557836294174
returns,28,0.03886420652270317
log_returns,28,0.03979230672121048
volatility,28,0.04164231941103935
range,28,0.043079786002635956
volume,28,0.04382451996207237
returns,27,0.03946852311491966
log_returns,27,0.0352223739027977
volatility,27,0.04104858264327049
range,27,0.038906875997781754
volume,27,0.032123759388923645
returns,26,0.03579448163509369
log_returns,26,0.040810149163007736
volatility,26,0.037885524332523346
range,26,0.03783393278717995
volume,26,0.038357559591531754
returns,25,0.036942049860954285
log_returns,25,0.04004516080021858
volatility,25,0.04004717990756035
range,25,0.03762219473719597
volume,25,0.044867511838674545
returns,24,0.03905646875500679
log_returns,24,0.04180309921503067
volatility,24,0.035369183868169785
range,24,0.039432406425476074
volume,24,0.038223233073949814
returns,23,0.04020050913095474
log_returns,23,0.03957571089267731
volatility,23,0.040666401386260986
range,23,0.04142991080880165
volume,23,0.036566413938999176
returns,22,0.04238810017704964
log_returns,22,0.03665491193532944
volatility,22,0.04098232835531235
range,22,0.042766034603118896
volume,22,0.03560612350702286
returns,21,0.041539404541254044
log_returns,21,0.0411052443087101
volatility,21,0.04340284317731857
range,21,0.04227522015571594
volume,21,0.04363163560628891
returns,20,0.04196475073695183
log_returns,20,0.04410548508167267
volatility,20,0.03511367738246918
range,20,0.04286165535449982
volume,20,0.043287165462970734
returns,19,0.04157750681042671
log_returns,19,0.04142831638455391
volatility,19,0.040469586849212646
range,19,0.03709918260574341
volume,19,0.03632945567369461
returns,18,0.043684519827365875
log_returns,18,0.04489433765411377
volatility,18,0.04004012048244476
range,18,0.03707057982683182
volume,18,0.039066512137651443
returns,17,0.036334652453660965
log_returns,17,0.042567986994981766
volatility,17,0.03911188989877701
range,17,0.039367713034152985
volume,17,0.04106299579143524
returns,16,0.04068038985133171
log_returns,16,0.04323307052254677
volatility,16,0.04366491362452507
range,16,0.04176725447177887
volume,16,0.03945581242442131
returns,15,0.03578175604343414
log_returns,15,0.04044263809919357
volatility,15,0.0380173996090889
range,15,0.04191864654421806
volume,15,0.038383226841688156
returns,14,0.04247168079018593
log_returns,14,0.03627856820821762
volatility,14,0.039552025496959686
range,14,0.04147155210375786
volume,14,0.040171727538108826
returns,13,0.03683098778128624
log_returns,13,0.040344830602407455
volatility,13,0.038480158895254135
range,13,0.041029736399650574
volume,13,0.04251499101519585
returns,12,0.043574534356594086
log_returns,12,0.039795856922864914
volatility,12,0.03814088925719261
range,12,0.034528788179159164
volume,12,0.04037664830684662
returns,11,0.0394446887075901
log_returns,11,0.037540968507528305
volatility,11,0.04190891608595848
range,11,0.04559604078531265
volume,11,0.039463091641664505
returns,10,0.03828169032931328
log_returns,10,0.04421650245785713
volatility,10,0.038624461740255356
range,10,0.036929406225681305
volume,10,0.04307907074689865
returns,9,0.04336551949381828
log_returns,9,0.04120807722210884
volatility,9,0.0393916480243206
range,9,0.034075722098350525
volume,9,0.043443143367767334
returns,8,0.03880288451910019
log_returns,8,0.03653179481625557
volatility,8,0.04153045639395714
range,8,0.04020433500409126
volume,8,0.04087413474917412
returns,7,0.037505168467760086
log_returns,7,0.04206625744700432
volatility,7,0.04128141701221466
range,7,0.033460699021816254
volume,7,0.04114525020122528
returns,6,0.038771480321884155
log_returns,6,0.04523211345076561
volatility,6,0.03714226558804512
range,6,0.04169841483235359
volume,6,0.04091537743806839
returns,5,0.040132973343133926
log_returns,5,0.04116254672408104
volatility,5,0.04017726331949234
range,5,0.0386236272752285
volume,5,0.03845081850886345
returns,4,0.0371783971786499
log_returns,4,0.03767954930663109
volatility,4,0.043375249952077866
range,4,0.0396139994263649
volume,4,0.036849137395620346
returns,3,0.04170107841491699
log_returns,3,0.04216170683503151
volatility,3,0.04186167195439339
range,3,0.03478487581014633
volume,3,0.03842650726437569
returns,2,0.03550763055682182
log_returns,2,0.03447151184082031
volatility,2,0.03534218668937683
range,2,0.041866641491651535
volume,2,0.0364801250398159
returns,1,0.042141444981098175
log_returns,1,0.039735469967126846
volatility,1,0.037778399884700775
range,1,0.04398292675614357
volume,1,0.03776615485548973
returns,0,0.034901298582553864
log_returns,0,0.04068242013454437
volatility,0,0.042672984302043915
range,0,0.04214365780353546
volume,0,0.03654562309384346
