feature,lag,importance
returns,31,0.1412588655948639
log_returns,31,0.14609059691429138
volatility,31,0.0660143792629242
range,31,0.05680180341005325
volume,31,0.0478275865316391
returns,30,0.10344094038009644
log_returns,30,0.09641847759485245
volatility,30,0.06461585313081741
range,30,0.06624752283096313
volume,30,0.05770169571042061
returns,29,0.07022751122713089
log_returns,29,0.06380876898765564
volatility,29,0.06044728308916092
range,29,0.07015884667634964
volume,29,0.05067449435591698
returns,28,0.0761890634894371
log_returns,28,0.08589501678943634
volatility,28,0.06232592463493347
range,28,0.08949416130781174
volume,28,0.05395929515361786
returns,27,0.08412594348192215
log_returns,27,0.08169133216142654
volatility,27,0.06406231224536896
range,27,0.06600110232830048
volume,27,0.045653246343135834
returns,26,0.07727455347776413
log_returns,26,0.07794462144374847
volatility,26,0.05185031518340111
range,26,0.06364799290895462
volume,26,0.04629958048462868
returns,25,0.07149399071931839
log_returns,25,0.0743369534611702
volatility,25,0.053821317851543427
range,25,0.07516025006771088
volume,25,0.04661277309060097
returns,24,0.06213047355413437
log_returns,24,0.05881241336464882
volatility,24,0.05570622906088829
range,24,0.058978840708732605
volume,24,0.056395672261714935
returns,23,0.04687594994902611
log_returns,23,0.05104193836450577
volatility,23,0.061897337436676025
range,23,0.05401718243956566
volume,23,0.04088222235441208
returns,22,0.06758111715316772
log_returns,22,0.06711734086275101
volatility,22,0.05750536546111107
range,22,0.07686319947242737
volume,22,0.044797662645578384
returns,21,0.09328114986419678
log_returns,21,0.09262731671333313
volatility,21,0.07680800557136536
range,21,0.11060737818479538
volume,21,0.04343266412615776
returns,20,0.06060747802257538
log_returns,20,0.04839164391160011
volatility,20,0.07956545054912567
range,20,0.08377738296985626
volume,20,0.03974446654319763
returns,19,0.10896781086921692
log_returns,19,0.10498235374689102
volatility,19,0.07226281613111496
range,19,0.053856272250413895
volume,19,0.0486762598156929
returns,18,0.07905068248510361
log_returns,18,0.08150334656238556
volatility,18,0.08203145116567612
range,18,0.058592021465301514
volume,18,0.04725097864866257
returns,17,0.07550656050443649
log_returns,17,0.07642967253923416
volatility,17,0.08905825018882751
range,17,0.10285980254411697
volume,17,0.052178096026182175
returns,16,0.07910431176424026
log_returns,16,0.07392628490924835
volatility,16,0.09057528525590897
range,16,0.08586566895246506
volume,16,0.04949822276830673
returns,15,0.08051347732543945
log_returns,15,0.07659073919057846
volatility,15,0.09886810183525085
range,15,0.08931557834148407
volume,15,0.050122328102588654
returns,14,0.08486316353082657
log_returns,14,0.08615116775035858
volatility,14,0.09375753253698349
range,14,0.06403032690286636
volume,14,0.03992832452058792
returns,13,0.05061999708414078
log_returns,13,0.045739900320768356
volatility,13,0.10189231485128403
range,13,0.07196410000324249
volume,13,0.051299236714839935
returns,12,0.09220844507217407
log_returns,12,0.08248814195394516
volatility,12,0.10239269584417343
range,12,0.06641905754804611
volume,12,0.049193546175956726
returns,11,0.05365626513957977
log_returns,11,0.054682254791259766
volatility,11,0.09566432982683182
range,11,0.06305481493473053
volume,11,0.0443938709795475
returns,10,0.10285940021276474
log_returns,10,0.09735113382339478
volatility,10,0.10770417749881744
range,10,0.08817141503095627
volume,10,0.04891451075673103
returns,9,0.07669021189212799
log_returns,9,0.07413849234580994
volatility,9,0.09961339086294174
range,9,0.06210734695196152
volume,9,0.0452895388007164
returns,8,0.0857267901301384
log_returns,8,0.08201228082180023
volatility,8,0.08953975141048431
range,8,0.06299866735935211
volume,8,0.0500040277838707
returns,7,0.0714227631688118
log_returns,7,0.06918785721063614
volatility,7,0.07723818719387054
range,7,0.06291764229536057
volume,7,0.045073676854372025
returns,6,0.06105192378163338
log_returns,6,0.06685121357440948
volatility,6,0.07176513969898224
range,6,0.0740002989768982
volume,6,0.04997367784380913
returns,5,0.11947418004274368
log_returns,5,0.11696986854076385
volatility,5,0.0599246546626091
range,5,0.059311509132385254
volume,5,0.05538509041070938
returns,4,0.06388187408447266
log_returns,4,0.07035692036151886
volatility,4,0.05696087330579758
range,4,0.06095490977168083
volume,4,0.050565335899591446
returns,3,0.11019136011600494
log_returns,3,0.1186305582523346
volatility,3,0.059076208621263504
range,3,0.08550147712230682
volume,3,0.04745694249868393
returns,2,0.08789699524641037
log_returns,2,0.08445437997579575
volatility,2,0.04687132313847542
range,2,0.05423866584897041
volume,2,0.05583474412560463
returns,1,0.10712931305170059
log_returns,1,0.12126162648200989
volatility,1,0.051469914615154266
range,1,0.09143634885549545
volume,1,0.05283573269844055
returns,0,0.15935733914375305
log_returns,0,0.1701471358537674
volatility,0,0.046409446746110916
range,0,0.07144886255264282
volume,0,0.0468641072511673
