feature,lag,importance
returns,31,0.231220081448555
log_returns,31,0.22996678948402405
volatility,31,0.06355178356170654
range,31,0.06558799743652344
volume,31,0.06338328868150711
returns,30,0.14884468913078308
log_returns,30,0.14230482280254364
volatility,30,0.06695017963647842
range,30,0.06594181805849075
volume,30,0.05549720674753189
returns,29,0.09914354234933853
log_returns,29,0.09144384413957596
volatility,29,0.045886069536209106
range,29,0.0815436914563179
volume,29,0.0491580069065094
returns,28,0.13109539449214935
log_returns,28,0.12230385094881058
volatility,28,0.07151902467012405
range,28,0.1265411376953125
volume,28,0.056528519839048386
returns,27,0.1118599995970726
log_returns,27,0.1138983741402626
volatility,27,0.059689961373806
range,27,0.0641762837767601
volume,27,0.04322747513651848
returns,26,0.08465050160884857
log_returns,26,0.08528704941272736
volatility,26,0.051813818514347076
range,26,0.05246616154909134
volume,26,0.05333217233419418
returns,25,0.09057652205228806
log_returns,25,0.10352326929569244
volatility,25,0.04660218954086304
range,25,0.061661310493946075
volume,25,0.053401753306388855
returns,24,0.055661801248788834
log_returns,24,0.057461824268102646
volatility,24,0.04601319879293442
range,24,0.07500870525836945
volume,24,0.06948099285364151
returns,23,0.05709356442093849
log_returns,23,0.04929749295115471
volatility,23,0.04833230748772621
range,23,0.050998374819755554
volume,23,0.04282864183187485
returns,22,0.0897856205701828
log_returns,22,0.08441951870918274
volatility,22,0.049725938588380814
range,22,0.1065809577703476
volume,22,0.04242287948727608
returns,21,0.12918612360954285
log_returns,21,0.13203617930412292
volatility,21,0.09273211658000946
range,21,0.14532656967639923
volume,21,0.05163857340812683
returns,20,0.0641014352440834
log_returns,20,0.0640343576669693
volatility,20,0.08435023576021194
range,20,0.10310031473636627
volume,20,0.04717377945780754
returns,19,0.11039119213819504
log_returns,19,0.11092883348464966
volatility,19,0.09036318212747574
range,19,0.056172918528318405
volume,19,0.0501212403178215
returns,18,0.13843849301338196
log_returns,18,0.14446786046028137
volatility,18,0.08524321019649506
range,18,0.09338749200105667
volume,18,0.06194930151104927
returns,17,0.08940473198890686
log_returns,17,0.1065131202340126
volatility,17,0.09867160022258759
range,17,0.13862240314483643
volume,17,0.05445021390914917
returns,16,0.0669105276465416
log_returns,16,0.05723773315548897
volatility,16,0.10690955817699432
range,16,0.10052759200334549
volume,16,0.050011046230793
returns,15,0.09856924414634705
log_returns,15,0.10212517529726028
volatility,15,0.12103521823883057
range,15,0.09799831360578537
volume,15,0.05062248557806015
returns,14,0.10937497019767761
log_returns,14,0.10618775337934494
volatility,14,0.1289164423942566
range,14,0.07914923131465912
volume,14,0.04765193909406662
returns,13,0.051152586936950684
log_returns,13,0.055222366005182266
volatility,13,0.14150917530059814
range,13,0.08955615758895874
volume,13,0.05027924105525017
returns,12,0.13675114512443542
log_returns,12,0.13009929656982422
volatility,12,0.1282593309879303
range,12,0.06140116974711418
volume,12,0.05141760781407356
returns,11,0.07152866572141647
log_returns,11,0.07011295855045319
volatility,11,0.13280369341373444
range,11,0.09421826899051666
volume,11,0.04778674617409706
returns,10,0.1411927491426468
log_returns,10,0.14249520003795624
volatility,10,0.142194002866745
range,10,0.08727870881557465
volume,10,0.058807846158742905
returns,9,0.10181154310703278
log_returns,9,0.09833656996488571
volatility,9,0.13079677522182465
range,9,0.05792322754859924
volume,9,0.05314240604639053
returns,8,0.10897257179021835
log_returns,8,0.10467960685491562
volatility,8,0.09404916316270828
range,8,0.08638739585876465
volume,8,0.048616498708724976
returns,7,0.09303231537342072
log_returns,7,0.09203793853521347
volatility,7,0.08651172369718552
range,7,0.06870659440755844
volume,7,0.053258173167705536
returns,6,0.06763419508934021
log_returns,6,0.06428645551204681
volatility,6,0.06479647010564804
range,6,0.08622689545154572
volume,6,0.048105206340551376
returns,5,0.1526937335729599
log_returns,5,0.15227192640304565
volatility,5,0.06235150247812271
range,5,0.07237424701452255
volume,5,0.05325214937329292
returns,4,0.08882215619087219
log_returns,4,0.0928710475564003
volatility,4,0.060312021523714066
range,4,0.054611269384622574
volume,4,0.04769451171159744
returns,3,0.18155822157859802
log_returns,3,0.18566372990608215
volatility,3,0.058715831488370895
range,3,0.08756863325834274
volume,3,0.047101397067308426
returns,2,0.10355867445468903
log_returns,2,0.10985678434371948
volatility,2,0.05679944530129433
range,2,0.07436419278383255
volume,2,0.05400936305522919
returns,1,0.18863089382648468
log_returns,1,0.18219245970249176
volatility,1,0.05012606829404831
range,1,0.1251017451286316
volume,1,0.047505106776952744
returns,0,0.3063162863254547
log_returns,0,0.2992849349975586
volatility,0,0.05369056388735771
range,0,0.09831085056066513
volume,0,0.04083245247602463
