threshold,hold_rate,action_accuracy_non_hold,conflict_rate
0.45,0.0,0.5391304347826087,1.0
0.46,0.0,0.5391304347826087,1.0
0.47000000000000003,0.0,0.5391304347826087,0.9217391304347826
0.48000000000000004,0.11304347826086956,0.5490196078431373,0.19130434782608696
0.49000000000000005,0.46956521739130436,0.47540983606557374,0.0
0.5,0.8782608695652174,0.7142857142857143,0.0
0.51,0.991304347826087,1.0,0.0
0.52,1.0,0.0,0.0
0.53,1.0,0.0,0.0
0.54,1.0,0.0,0.0
0.55,1.0,0.0,0.0
0.56,1.0,0.0,0.0
0.5700000000000001,1.0,0.0,0.0
0.5800000000000001,1.0,0.0,0.0
0.5900000000000001,1.0,0.0,0.0
0.6000000000000001,1.0,0.0,0.0
0.6100000000000001,1.0,0.0,0.0
0.6200000000000001,1.0,0.0,0.0
0.6300000000000001,1.0,0.0,0.0
0.6400000000000001,1.0,0.0,0.0
0.6500000000000001,1.0,0.0,0.0
0.6600000000000001,1.0,0.0,0.0
0.6700000000000002,1.0,0.0,0.0
0.6800000000000002,1.0,0.0,0.0
0.6900000000000002,1.0,0.0,0.0
0.7000000000000002,1.0,0.0,0.0
0.7100000000000002,1.0,0.0,0.0
0.7200000000000002,1.0,0.0,0.0
0.7300000000000002,1.0,0.0,0.0
0.7400000000000002,1.0,0.0,0.0
0.7500000000000002,1.0,0.0,0.0
