feature,lag,importance
returns,31,0.03534948453307152
log_returns,31,0.0449562594294548
volatility,31,0.04212416335940361
range,31,0.039472755044698715
volume,31,0.04326007142663002
returns,30,0.03798959031701088
log_returns,30,0.04018055647611618
volatility,30,0.038650307804346085
range,30,0.04597258195281029
volume,30,0.04166180267930031
returns,29,0.04046902060508728
log_returns,29,0.035342905670404434
volatility,29,0.03914397209882736
range,29,0.03625357151031494
volume,29,0.0409390963613987
returns,28,0.039172250777482986
log_returns,28,0.03795715048909187
volatility,28,0.03793322294950485
range,28,0.0391571931540966
volume,28,0.04283665865659714
returns,27,0.03782547265291214
log_returns,27,0.04379642754793167
volatility,27,0.032543133944272995
range,27,0.03991180285811424
volume,27,0.03753354400396347
returns,26,0.04268907383084297
log_returns,26,0.03700508549809456
volatility,26,0.03471769765019417
range,26,0.04038998484611511
volume,26,0.0387079194188118
returns,25,0.037552569061517715
log_returns,25,0.04184460639953613
volatility,25,0.044215574860572815
range,25,0.04332255199551582
volume,25,0.03820847347378731
returns,24,0.03970722481608391
log_returns,24,0.041021645069122314
volatility,24,0.04230042174458504
range,24,0.03696978837251663
volume,24,0.040543217211961746
returns,23,0.044459592550992966
log_returns,23,0.034655045717954636
volatility,23,0.03985832631587982
range,23,0.03857937082648277
volume,23,0.04049409180879593
returns,22,0.038147687911987305
log_returns,22,0.041351716965436935
volatility,22,0.035410091280937195
range,22,0.039650384336709976
volume,22,0.04007444530725479
returns,21,0.033950649201869965
log_returns,21,0.03928185999393463
volatility,21,0.04199877008795738
range,21,0.04005846008658409
volume,21,0.04143018648028374
returns,20,0.035991884768009186
log_returns,20,0.03768961504101753
volatility,20,0.04071124270558357
range,20,0.038372430950403214
volume,20,0.043851498514413834
returns,19,0.04488552361726761
log_returns,19,0.04406600445508957
volatility,19,0.04156370833516121
range,19,0.03747984766960144
volume,19,0.038109201937913895
returns,18,0.03918171301484108
log_returns,18,0.03996967896819115
volatility,18,0.03773139417171478
range,18,0.03896903246641159
volume,18,0.03537704795598984
returns,17,0.04008305445313454
log_returns,17,0.032988838851451874
volatility,17,0.040922969579696655
range,17,0.04366014152765274
volume,17,0.04039498791098595
returns,16,0.04080760478973389
log_returns,16,0.04162570461630821
volatility,16,0.04040895774960518
range,16,0.036971140652894974
volume,16,0.03854556381702423
returns,15,0.04158642888069153
log_returns,15,0.03903818503022194
volatility,15,0.04253249987959862
range,15,0.04221772402524948
volume,15,0.03831835091114044
returns,14,0.038236308842897415
log_returns,14,0.04194287955760956
volatility,14,0.03918873146176338
range,14,0.03850525617599487
volume,14,0.037981029599905014
returns,13,0.045698411762714386
log_returns,13,0.036497995257377625
volatility,13,0.042473167181015015
range,13,0.04358050599694252
volume,13,0.042901769280433655
returns,12,0.04294586181640625
log_returns,12,0.03915349021553993
volatility,12,0.042351480573415756
range,12,0.04024964198470116
volume,12,0.04457973688840866
returns,11,0.04073678329586983
log_returns,11,0.041199177503585815
volatility,11,0.03991543874144554
range,11,0.03693714365363121
volume,11,0.04172707349061966
returns,10,0.043620478361845016
log_returns,10,0.035970523953437805
volatility,10,0.03660969063639641
range,10,0.04200821369886398
volume,10,0.03681293874979019
returns,9,0.03985905274748802
log_returns,9,0.039834164083004
volatility,9,0.038081467151641846
range,9,0.03919674828648567
volume,9,0.03752928972244263
returns,8,0.0411270409822464
log_returns,8,0.041292741894721985
volatility,8,0.04280081018805504
range,8,0.0414808951318264
volume,8,0.03844083845615387
returns,7,0.04436144977807999
log_returns,7,0.04139724746346474
volatility,7,0.0383385568857193
range,7,0.0405157208442688
volume,7,0.043035220354795456
returns,6,0.04271404817700386
log_returns,6,0.038994964212179184
volatility,6,0.040055934339761734
range,6,0.03667021170258522
volume,6,0.038220297545194626
returns,5,0.03810085356235504
log_returns,5,0.042477574199438095
volatility,5,0.03891098499298096
range,5,0.043133970350027084
volume,5,0.03862670809030533
returns,4,0.03967991843819618
log_returns,4,0.03904299810528755
volatility,4,0.03795165941119194
range,4,0.0376507043838501
volume,4,0.03767009079456329
returns,3,0.03926397114992142
log_returns,3,0.03725219890475273
volatility,3,0.03343157842755318
range,3,0.03632940351963043
volume,3,0.03855549916625023
returns,2,0.033015236258506775
log_returns,2,0.04200280085206032
volatility,2,0.03692176565527916
range,2,0.03831643983721733
volume,2,0.04216949641704559
returns,1,0.036399535834789276
log_returns,1,0.03752071410417557
volatility,1,0.0396694615483284
range,1,0.03738543391227722
volume,1,0.04182100668549538
returns,0,0.04180337116122246
log_returns,0,0.03867385536432266
volatility,0,0.03223492577672005
range,0,0.0390600711107254
volume,0,0.03542356565594673
