feature,lag,importance
returns,31,0.040533337742090225
log_returns,31,0.035615935921669006
volatility,31,0.041273120790719986
range,31,0.04272385686635971
volume,31,0.04382937029004097
returns,30,0.0395532101392746
log_returns,30,0.03843224421143532
volatility,30,0.04494247958064079
range,30,0.0369899682700634
volume,30,0.03885616734623909
returns,29,0.037179552018642426
log_returns,29,0.04042942449450493
volatility,29,0.03885747119784355
range,29,0.040659837424755096
volume,29,0.04208521172404289
returns,28,0.036916863173246384
log_returns,28,0.03990874066948891
volatility,28,0.040620602667331696
range,28,0.04325820133090019
volume,28,0.04256806895136833
returns,27,0.04107023775577545
log_returns,27,0.03458304703235626
volatility,27,0.04033665731549263
range,27,0.03945998474955559
volume,27,0.033342067152261734
returns,26,0.037107791751623154
log_returns,26,0.039861422032117844
volatility,26,0.03792645037174225
range,26,0.03789781033992767
volume,26,0.03963540121912956
returns,25,0.037070468068122864
log_returns,25,0.04000415280461311
volatility,25,0.039235636591911316
range,25,0.0370061881840229
volume,25,0.04504448175430298
returns,24,0.03999392315745354
log_returns,24,0.04134383052587509
volatility,24,0.034790828824043274
range,24,0.0394689179956913
volume,24,0.03787415847182274
returns,23,0.04023518040776253
log_returns,23,0.040110040456056595
volatility,23,0.03985496982932091
range,23,0.04110882058739662
volume,23,0.03547050803899765
returns,22,0.042323317378759384
log_returns,22,0.03692636266350746
volatility,22,0.04110264405608177
range,22,0.04128164052963257
volume,22,0.035650644451379776
returns,21,0.040901437401771545
log_returns,21,0.04118603840470314
volatility,21,0.04306605085730553
range,21,0.042371466755867004
volume,21,0.04400341957807541
returns,20,0.04162336885929108
log_returns,20,0.0438501350581646
volatility,20,0.03547783941030502
range,20,0.04292043298482895
volume,20,0.04183201491832733
returns,19,0.04078442230820656
log_returns,19,0.040688324719667435
volatility,19,0.040437374264001846
range,19,0.03811788931488991
volume,19,0.03733213618397713
returns,18,0.04185102880001068
log_returns,18,0.04489010199904442
volatility,18,0.04002775251865387
range,18,0.035153523087501526
volume,18,0.03986556828022003
returns,17,0.03515294939279556
log_returns,17,0.04261747747659683
volatility,17,0.039457082748413086
range,17,0.0396231934428215
volume,17,0.0409652478992939
returns,16,0.04039127007126808
log_returns,16,0.04327044636011124
volatility,16,0.04366655275225639
range,16,0.0411946140229702
volume,16,0.04061228036880493
returns,15,0.03560694307088852
log_returns,15,0.040518868714571
volatility,15,0.039199456572532654
range,15,0.04277357831597328
volume,15,0.03759436309337616
returns,14,0.04234912991523743
log_returns,14,0.036420322954654694
volatility,14,0.039070647209882736
range,14,0.04091133177280426
volume,14,0.039908409118652344
returns,13,0.036322493106126785
log_returns,13,0.04070042818784714
volatility,13,0.037887658923864365
range,13,0.04040941596031189
volume,13,0.043044112622737885
returns,12,0.04245666414499283
log_returns,12,0.0387086495757103
volatility,12,0.03752630576491356
range,12,0.034346915781497955
volume,12,0.041860342025756836
returns,11,0.04015330225229263
log_returns,11,0.03670934960246086
volatility,11,0.04178953543305397
range,11,0.04642374813556671
volume,11,0.03958970680832863
returns,10,0.03736239671707153
log_returns,10,0.043775640428066254
volatility,10,0.03774690255522728
range,10,0.03658216446638107
volume,10,0.04130934178829193
returns,9,0.043653108179569244
log_returns,9,0.04163674637675285
volatility,9,0.03823255002498627
range,9,0.034716684371232986
volume,9,0.04366670176386833
returns,8,0.03942509740591049
log_returns,8,0.035464923828840256
volatility,8,0.04175619035959244
range,8,0.03892681375145912
volume,8,0.04054831713438034
returns,7,0.03711778298020363
log_returns,7,0.039879344403743744
volatility,7,0.04100111499428749
range,7,0.03400972858071327
volume,7,0.04031229391694069
returns,6,0.03975846618413925
log_returns,6,0.044057443737983704
volatility,6,0.03825566545128822
range,6,0.04117763787508011
volume,6,0.040008269250392914
returns,5,0.039505649358034134
log_returns,5,0.04092990607023239
volatility,5,0.03926601633429527
range,5,0.03875579312443733
volume,5,0.0383179634809494
returns,4,0.03760339692234993
log_returns,4,0.037674274295568466
volatility,4,0.042720992118120193
range,4,0.038299962878227234
volume,4,0.03602590784430504
returns,3,0.04124992713332176
log_returns,3,0.04112408310174942
volatility,3,0.04231813922524452
range,3,0.0343470424413681
volume,3,0.039010997861623764
returns,2,0.03405969962477684
log_returns,2,0.034272700548172
volatility,2,0.0350271537899971
range,2,0.040504615753889084
volume,2,0.036818116903305054
returns,1,0.04265138506889343
log_returns,1,0.04039059951901436
volatility,1,0.03770025074481964
range,1,0.043600983917713165
volume,1,0.03673805296421051
returns,0,0.03482469916343689
log_returns,0,0.04041692987084389
volatility,0,0.042545922100543976
range,0,0.04096166417002678
volume,0,0.03695183992385864
