feature,lag,importance
returns,31,0.04132013022899628
log_returns,31,0.0391446016728878
volatility,31,0.037744175642728806
range,31,0.03835546225309372
volume,31,0.038602858781814575
returns,30,0.04336872324347496
log_returns,30,0.037254489958286285
volatility,30,0.043647464364767075
range,30,0.03415503352880478
volume,30,0.04010893777012825
returns,29,0.037968914955854416
log_returns,29,0.04234664514660835
volatility,29,0.03730519488453865
range,29,0.0350198857486248
volume,29,0.04081928730010986
returns,28,0.03763877972960472
log_returns,28,0.03710451349616051
volatility,28,0.042019810527563095
range,28,0.04347171261906624
volume,28,0.04466418921947479
returns,27,0.037980496883392334
log_returns,27,0.03932454064488411
volatility,27,0.04112498462200165
range,27,0.042024996131658554
volume,27,0.03805089741945267
returns,26,0.04070163518190384
log_returns,26,0.044245779514312744
volatility,26,0.03532503917813301
range,26,0.04033108428120613
volume,26,0.03951622173190117
returns,25,0.040311045944690704
log_returns,25,0.03843958303332329
volatility,25,0.04132615402340889
range,25,0.03586406633257866
volume,25,0.039690449833869934
returns,24,0.04006034880876541
log_returns,24,0.03396326303482056
volatility,24,0.03821120411157608
range,24,0.04265386238694191
volume,24,0.03959064930677414
returns,23,0.0419267863035202
log_returns,23,0.03683636710047722
volatility,23,0.037875946611166
range,23,0.03997473791241646
volume,23,0.03767562657594681
returns,22,0.04462515562772751
log_returns,22,0.0446944385766983
volatility,22,0.04380234703421593
range,22,0.04301474243402481
volume,22,0.03689616918563843
returns,21,0.03729134052991867
log_returns,21,0.03918701782822609
volatility,21,0.03911061957478523
range,21,0.03728411719202995
volume,21,0.03876469284296036
returns,20,0.034859709441661835
log_returns,20,0.040296025574207306
volatility,20,0.0330934077501297
range,20,0.041135817766189575
volume,20,0.043053511530160904
returns,19,0.040331702679395676
log_returns,19,0.04178839549422264
volatility,19,0.04193266108632088
range,19,0.04102526232600212
volume,19,0.03608722239732742
returns,18,0.038454338908195496
log_returns,18,0.04167390987277031
volatility,18,0.03877827152609825
range,18,0.04317348822951317
volume,18,0.04184922203421593
returns,17,0.03765905275940895
log_returns,17,0.038517456501722336
volatility,17,0.04218403249979019
range,17,0.03976665809750557
volume,17,0.03861170634627342
returns,16,0.03812596946954727
log_returns,16,0.04574834555387497
volatility,16,0.037162382155656815
range,16,0.04262365400791168
volume,16,0.043256763368844986
returns,15,0.04392741620540619
log_returns,15,0.04262630268931389
volatility,15,0.03951843082904816
range,15,0.042625680565834045
volume,15,0.039885737001895905
returns,14,0.04527045413851738
log_returns,14,0.04098420590162277
volatility,14,0.041826166212558746
range,14,0.0412028543651104
volume,14,0.035157326608896255
returns,13,0.04078485071659088
log_returns,13,0.043799009174108505
volatility,13,0.03681899979710579
range,13,0.037259381264448166
volume,13,0.042689885944128036
returns,12,0.037284549325704575
log_returns,12,0.04043891280889511
volatility,12,0.0396130345761776
range,12,0.03887432813644409
volume,12,0.03952626511454582
returns,11,0.038664404302835464
log_returns,11,0.04071858897805214
volatility,11,0.04125448688864708
range,11,0.04246613755822182
volume,11,0.041698992252349854
returns,10,0.03842709958553314
log_returns,10,0.04458071291446686
volatility,10,0.04035269096493721
range,10,0.03825082629919052
volume,10,0.040366917848587036
returns,9,0.043045345693826675
log_returns,9,0.04292888194322586
volatility,9,0.03974863514304161
range,9,0.04002397879958153
volume,9,0.03642204403877258
returns,8,0.03851664438843727
log_returns,8,0.03783480077981949
volatility,8,0.0423714704811573
range,8,0.03896059840917587
volume,8,0.04381956532597542
returns,7,0.03988628834486008
log_returns,7,0.04145627096295357
volatility,7,0.03976407274603844
range,7,0.038394778966903687
volume,7,0.03866307809948921
returns,6,0.038116734474897385
log_returns,6,0.03924357146024704
volatility,6,0.036591656506061554
range,6,0.0338510163128376
volume,6,0.03581304848194122
returns,5,0.03782545030117035
log_returns,5,0.033151812851428986
volatility,5,0.04158435016870499
range,5,0.037489064037799835
volume,5,0.0380789190530777
returns,4,0.04222873970866203
log_returns,4,0.03611120581626892
volatility,4,0.038637835532426834
range,4,0.038682423532009125
volume,4,0.03713111951947212
returns,3,0.04166650027036667
log_returns,3,0.042208172380924225
volatility,3,0.038515981286764145
range,3,0.03183532506227493
volume,3,0.03879435360431671
returns,2,0.035575028508901596
log_returns,2,0.03565841540694237
volatility,2,0.045620087534189224
range,2,0.041599053889513016
volume,2,0.03877442330121994
returns,1,0.04236298054456711
log_returns,1,0.03955499455332756
volatility,1,0.04098321869969368
range,1,0.03830622509121895
volume,1,0.04483196884393692
returns,0,0.04056544229388237
log_returns,0,0.03970499336719513
volatility,0,0.03457561507821083
range,0,0.039338208734989166
volume,0,0.03723274543881416
