episode,reward,best_reward,mutation_count,mutation_rate,mutated_keys,explore,adaptation_good,adaptation_failures,decision_hold_rate,decision_action_rate,decision_action_accuracy_non_hold,decision_conflict_rate,decision_precision_up,decision_precision_down,hold_rate,action_rate,action_accuracy_non_hold,conflict_rate,precision_up,precision_down,sup_up_accuracy,sup_up_f1,sup_down_accuracy,sup_down_f1,rl_up_accuracy,rl_up_hold_rate,rl_down_accuracy,rl_down_hold_rate,score_base,score_improve,score,delta_up_accuracy,delta_down_accuracy,improve_up_accuracy,improve_down_accuracy,param.features.list_of_features,param.features.window_size_K,param.supervised.epochs,param.supervised.batch_size,param.supervised.lr,param.supervised.weight_decay,param.supervised.hidden_dim,param.supervised.early_stopping_patience,param.decision_rule.T_min,param.decision_rule.delta_min,param.decision_rule.use_best_from_scan,param.decision_rule.scan_min,param.decision_rule.scan_max,param.decision_rule.scan_step,param.rl.episodes,param.rl.steps_per_episode,param.rl.gamma,param.rl.lr,param.rl.entropy_bonus,param.rl.reward.R_correct,param.rl.reward.R_wrong,param.rl.reward.R_opposite,param.rl.reward.R_hold,param.rl.policy_hidden_dim
1,1.26542207933814,1.26542207933814,24,1.0,"features.list_of_features,features.window_size_K,supervised.epochs,supervised.batch_size,supervised.lr,supervised.weight_decay,supervised.hidden_dim,supervised.early_stopping_patience,decision_rule.T_min,decision_rule.delta_min,decision_rule.use_best_from_scan,decision_rule.scan_min,decision_rule.scan_max,decision_rule.scan_step,rl.episodes,rl.steps_per_episode,rl.gamma,rl.lr,rl.entropy_bonus,rl.reward.R_correct,rl.reward.R_wrong,rl.reward.R_opposite,rl.reward.R_hold,rl.policy_hidden_dim",1,0.0,rl_up_accuracy < 0.5200 (got 0.5179),0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.5208333333333334,0.5858725761772853,0.5352564102564102,0.2731829573934837,0.5178721796958464,0.4348,0.47653751437315994,0.5009999999999999,0.8429861819022425,0.4224358974358975,1.26542207933814,0.5208333333333334,0.5352564102564102,0.5208333333333334,0.5352564102564102,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
2,0.6873232733966311,1.26542207933814,2,0.08333333333333333,"supervised.weight_decay,supervised.lr",0,0.0,hold_rate > 0.3500 (got 0.3742);rl_up_accuracy < 0.5200 (got 0.5179),0.37419871794871795,0.625801282051282,0.5352112676056338,0.07051282051282051,0.5552941176470588,0.5112359550561798,0.37419871794871795,0.625801282051282,0.5352112676056338,0.07051282051282051,0.5552941176470588,0.5112359550561798,0.5160256410256411,0.40551181102362205,0.5256410256410257,0.37815126050420167,0.5178721796958464,0.4348,0.47653751437315994,0.5009999999999999,0.6873232733966311,0.0,0.6873232733966311,-0.004807692307692291,-0.009615384615384581,0.0,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.001,0.0,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
3,0.8490271453620643,1.26542207933814,2,0.08333333333333333,"rl.entropy_bonus,decision_rule.T_min",0,0.0,rl_up_accuracy < 0.5200 (got 0.5181),0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.5208333333333334,0.5858725761772853,0.5352564102564102,0.2731829573934837,0.5180843201825247,0.4342999999999999,0.47653577585629847,0.5001,0.8432579145928335,0.005769230769230749,0.8490271453620643,0.004807692307692291,0.009615384615384581,0.004807692307692291,0.009615384615384581,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0001,64,10,0.5,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.0,1.0,1.0,2.0,0.4,128
4,0.8131293151584434,1.26542207933814,2,0.08333333333333333,"features.list_of_features,rl.reward.R_opposite",0,0.0,precision_down < 0.5100 (got 0.4940);rl_up_accuracy < 0.5200 (got 0.5138),0.26383319967923013,0.7361668003207699,0.5315904139433552,0.07056936647955092,0.545727136431784,0.4940239043824701,0.26383319967923013,0.7361668003207699,0.5315904139433552,0.07056936647955092,0.545727136431784,0.4940239043824701,0.520449077786688,0.5746799431009957,0.53728949478749,0.38682252922422955,0.5138444052725228,0.49770000000000003,0.48381295624728365,0.49900000000000005,0.8123160813460115,0.0008132338124319017,0.8131293151584434,-0.0003842555466453401,0.002033084531079754,0.0,0.002033084531079754,"['returns', 'log_returns', 'sma_5', 'sma_20', 'ema_12', 'ema_26', 'ema_diff', 'momentum_10', 'roc_5']",32,50,64,0.0005,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,1.5,0.4,128
5,0.667334897268026,1.26542207933814,2,0.08333333333333333,"decision_rule.T_min,features.list_of_features",0,0.0,hold_rate > 0.3500 (got 0.4175);precision_down < 0.5100 (got 0.5063);rl_up_accuracy < 0.5200 (got 0.5166),0.41746794871794873,0.5825320512820513,0.5529573590096286,0.052083333333333336,0.558641975308642,0.5063291139240507,0.41746794871794873,0.5825320512820513,0.5529573590096286,0.052083333333333336,0.558641975308642,0.5063291139240507,0.53125,0.5923344947735192,0.530448717948718,0.23298429319371727,0.5166267786659161,0.4252,0.47597921358690287,0.5186,0.6630145283827011,0.004320368885324788,0.667334897268026,0.01080092221331197,-0.006840776838772045,0.01080092221331197,0.0,"['returns', 'log_returns', 'volatility', 'volatility_20', 'range', 'atr_14', 'volume_zscore_20']",32,50,64,0.0005,0.0001,64,10,0.45,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
6,0.7026341657502434,1.26542207933814,2,0.08333333333333333,"decision_rule.delta_min,supervised.hidden_dim",0,0.0,hold_rate > 0.3500 (got 0.3950);rl_up_accuracy < 0.5200 (got 0.5179),0.39503205128205127,0.6049679487179487,0.5562913907284768,0.04487179487179487,0.5602189781021898,0.5458937198067633,0.39503205128205127,0.6049679487179487,0.5562913907284768,0.04487179487179487,0.5602189781021898,0.5458937198067633,0.5328525641025641,0.5511932255581217,0.532051282051282,0.3568281938325991,0.5178721796958464,0.4348,0.47653751437315994,0.5009999999999999,0.7013521144681921,0.0012820512820512775,0.7026341657502434,0.0016025641025640969,0.0016025641025640969,0.0016025641025640969,0.0016025641025640969,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0001,128,10,0.6,0.08,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
7,0.8538222197140424,1.26542207933814,2,0.08333333333333333,"rl.entropy_bonus,rl.policy_hidden_dim",0,0.0,rl_up_accuracy < 0.5200 (got 0.5181),0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.5208333333333334,0.5858725761772853,0.5352564102564102,0.2731829573934837,0.5181198010149146,0.42239999999999994,0.4735986700379977,0.4538,0.8525401684319911,0.0012820512820512775,0.8538222197140424,-0.012019230769230727,0.0032051282051281937,0.0,0.0032051282051281937,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.0,1.0,1.0,2.0,0.4,64
8,0.9198272510521188,1.26542207933814,2,0.08333333333333333,"supervised.lr,rl.policy_hidden_dim",0,0.0,rl_up_accuracy < 0.5200 (got 0.5181),0.2299679487179487,0.7700320512820513,0.5525494276795005,0.03445512820512821,0.5513447432762836,0.5594405594405595,0.2299679487179487,0.7700320512820513,0.5525494276795005,0.03445512820512821,0.5513447432762836,0.5594405594405595,0.5336538461538461,0.625,0.5408653846153846,0.2899628252788104,0.5180834434537618,0.4231,0.4735986700379977,0.4538,0.912455456180324,0.007371794871794846,0.9198272510521188,0.012820512820512775,0.005608974358974339,0.012820512820512775,0.005608974358974339,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.001,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,64
9,0.8410081614270847,1.26542207933814,2,0.08333333333333333,"rl.entropy_bonus,rl.reward.R_hold",0,0.0,rl_up_accuracy < 0.5200 (got 0.5182),0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.23317307692307693,0.7668269230769231,0.5412748171368861,0.0985576923076923,0.5434782608695652,0.5314285714285715,0.5208333333333334,0.5858725761772853,0.5352564102564102,0.2731829573934837,0.5181706573878828,0.43400000000000005,0.47544322433924735,0.5094,0.8410081614270847,0.0,0.8410081614270847,-0.012820512820512775,-0.005608974358974339,0.0,0.0,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",32,50,64,0.0005,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.0,1.0,1.0,2.0,0.3,128
10,0.8848338700426407,1.26542207933814,2,0.08333333333333333,"supervised.lr,features.window_size_K",0,1.0,,0.26298960831334933,0.7370103916866507,0.5498915401301518,0.01598721023181455,0.5562913907284768,0.5209580838323353,0.26298960831334933,0.7370103916866507,0.5498915401301518,0.01598721023181455,0.5562913907284768,0.5209580838323353,0.542765787370104,0.6103542234332425,0.5507593924860112,0.30617283950617286,0.5227302907931791,0.4462,0.48270168596398455,0.5313,0.8698596955360921,0.014974174506548633,0.8848338700426407,0.021932454036770577,0.015502982229601003,0.021932454036770577,0.015502982229601003,"['returns', 'log_returns', 'volatility', 'range', 'volume', 'rsi_14', 'ema_diff']",16,50,64,0.001,0.0001,64,10,0.6,0.02,True,0.45,0.75,0.01,50,200,0.99,0.0005,0.02,1.0,1.0,2.0,0.4,128
