feature,lag,importance
returns,15,0.047495242208242416
log_returns,15,0.043651875108480453
volatility,15,0.05048149451613426
range,15,0.048770971596241
volume,15,0.04596133530139923
ema_diff,15,0.04939337819814682
rsi_14,15,0.044117722660303116
returns,14,0.04566561430692673
log_returns,14,0.04505109786987305
volatility,14,0.04993542283773422
range,14,0.05542970821261406
volume,14,0.044090479612350464
ema_diff,14,0.047917917370796204
rsi_14,14,0.0482877679169178
returns,13,0.04866611585021019
log_returns,13,0.04775804281234741
volatility,13,0.04966578632593155
range,13,0.05092029646039009
volume,13,0.05023317411541939
ema_diff,13,0.04564613476395607
rsi_14,13,0.05151558294892311
returns,12,0.050459202378988266
log_returns,12,0.04664824530482292
volatility,12,0.049028430134058
range,12,0.04687091335654259
volume,12,0.05189429596066475
ema_diff,12,0.043640103191137314
rsi_14,12,0.04597754776477814
returns,11,0.04595758765935898
log_returns,11,0.046700216829776764
volatility,11,0.048308003693819046
range,11,0.04687287658452988
volume,11,0.04600277543067932
ema_diff,11,0.048292361199855804
rsi_14,11,0.04461979120969772
returns,10,0.0454290434718132
log_returns,10,0.048277948051691055
volatility,10,0.05216466635465622
range,10,0.04913037642836571
volume,10,0.05039769783616066
ema_diff,10,0.04791779816150665
rsi_14,10,0.049711015075445175
returns,9,0.04634778946638107
log_returns,9,0.04962242394685745
volatility,9,0.045861322432756424
range,9,0.043301116675138474
volume,9,0.04352373629808426
ema_diff,9,0.04745088145136833
rsi_14,9,0.04760127514600754
returns,8,0.04685165733098984
log_returns,8,0.050168491899967194
volatility,8,0.04226256534457207
range,8,0.0459408164024353
volume,8,0.04501159489154816
ema_diff,8,0.04656659811735153
rsi_14,8,0.04997262731194496
returns,7,0.04206465557217598
log_returns,7,0.04902638867497444
volatility,7,0.04496459662914276
range,7,0.042793966829776764
volume,7,0.05406875163316727
ema_diff,7,0.04750143364071846
rsi_14,7,0.04589763656258583
returns,6,0.04663039371371269
log_returns,6,0.048911623656749725
volatility,6,0.04272736608982086
range,6,0.04857892915606499
volume,6,0.04894021898508072
ema_diff,6,0.04587002843618393
rsi_14,6,0.04802986979484558
returns,5,0.04777924716472626
log_returns,5,0.04548739641904831
volatility,5,0.03976469486951828
range,5,0.04649699851870537
volume,5,0.04811985790729523
ema_diff,5,0.046625278890132904
rsi_14,5,0.04544313624501228
returns,4,0.047199200838804245
log_returns,4,0.04826396703720093
volatility,4,0.04789985716342926
range,4,0.04676960036158562
volume,4,0.046850502490997314
ema_diff,4,0.04627710208296776
rsi_14,4,0.04888497665524483
returns,3,0.04478141665458679
log_returns,3,0.04467073455452919
volatility,3,0.048722341656684875
range,3,0.04820700362324715
volume,3,0.045201320201158524
ema_diff,3,0.05078737065196037
rsi_14,3,0.04420820251107216
returns,2,0.04704803228378296
log_returns,2,0.04269098490476608
volatility,2,0.04320082068443298
range,2,0.04573769122362137
volume,2,0.04408152773976326
ema_diff,2,0.049189720302820206
rsi_14,2,0.04745963588356972
returns,1,0.047428231686353683
log_returns,1,0.04508644714951515
volatility,1,0.04561439901590347
range,1,0.04563278332352638
volume,1,0.048881445080041885
ema_diff,1,0.04782495275139809
rsi_14,1,0.047285620123147964
returns,0,0.0435032919049263
log_returns,0,0.04801249876618385
volatility,0,0.05132681131362915
range,0,0.04685139283537865
volume,0,0.044657494872808456
ema_diff,0,0.051550474017858505
rsi_14,0,0.04690680280327797
