episode,reward,hold_rate,accuracy,entropy,grad_norm,delta_weight_norm,weight_norm
1,-0.532,0.505,0.4444444444444444,0.6906600594520569,4.131972099009626,0.07546736299991608,6.614542484283447
2,-0.523,0.52,0.4479166666666667,0.6873301267623901,8.516175808937813,0.054351333528757095,6.614842891693115
3,-0.37799999999999995,0.545,0.5494505494505495,0.6900517344474792,1.9609279662239736,0.044158127158880234,6.615497589111328
4,-0.4850000000000001,0.525,0.47368421052631576,0.6892012357711792,2.7617679091992757,0.03830507770180702,6.616206645965576
5,-0.462,0.53,0.48936170212765956,0.6893861293792725,1.138231852732973,0.03229494392871857,6.617027759552002
6,-0.34299999999999997,0.595,0.5802469135802469,0.6881181001663208,1.3503615849244701,0.027100663632154465,6.6178717613220215
7,-0.49300000000000005,0.545,0.46153846153846156,0.6868913173675537,2.0941875624690014,0.025380663573741913,6.618639945983887
8,-0.5670000000000001,0.555,0.39325842696629215,0.6879518032073975,1.7286461747429793,0.022726694121956825,6.619282245635986
9,-0.35200000000000004,0.48,0.5576923076923077,0.6887025237083435,0.5086735916769405,0.020336462184786797,6.619930267333984
10,-0.377,0.555,0.550561797752809,0.6885374784469604,0.35629281013098985,0.0180443674325943,6.620530128479004
11,-0.4770000000000001,0.53,0.4787234042553192,0.6834611296653748,1.7133459993533011,0.01788872480392456,6.621092796325684
12,-0.442,0.505,0.5050505050505051,0.6859782338142395,0.48988394092927134,0.016288310289382935,6.621647357940674
13,-0.512,0.555,0.449438202247191,0.6729071736335754,2.5169680243269315,0.018759114667773247,6.622161388397217
14,-0.37200000000000005,0.555,0.550561797752809,0.6704185605049133,0.2212319396848774,0.017018621787428856,6.622684478759766
15,-0.513,0.545,0.45054945054945056,0.6791708469390869,1.7933279854763524,0.01677858643233776,6.623081207275391
16,-0.49500000000000005,0.575,0.4588235294117647,0.6885914206504822,0.40436903129447527,0.015145901590585709,6.623463153839111
17,-0.45800000000000013,0.57,0.4883720930232558,0.6834514737129211,0.8569100524372835,0.014581036753952503,6.623886585235596
18,-0.34600000000000003,0.64,0.5833333333333334,0.6829820275306702,0.7585980670493726,0.013756158761680126,6.624347686767578
19,-0.38799999999999996,0.595,0.5432098765432098,0.6875945925712585,0.04505363509257329,0.012496436014771461,6.624790668487549
20,-0.49,0.575,0.4588235294117647,0.6812504529953003,0.925394889044807,0.011414293199777603,6.625144958496094
21,-0.5260000000000001,0.565,0.4367816091954023,0.6838648319244385,0.7613457386821755,0.010190261527895927,6.625412940979004
22,-0.4380000000000001,0.57,0.5,0.6855970621109009,0.029559436411723525,0.009268785826861858,6.625667572021484
23,-0.5850000000000001,0.575,0.38823529411764707,0.6747068762779236,1.995211344645568,0.012271110899746418,6.626094818115234
24,-0.425,0.525,0.5157894736842106,0.6829656958580017,0.21754653904831403,0.011174643412232399,6.62650203704834
25,-0.55,0.55,0.4222222222222222,0.6799120306968689,0.8937032781889824,0.010945376940071583,6.626858234405518
26,-0.48700000000000004,0.505,0.47474747474747475,0.6871059536933899,0.3688953704763427,0.009998220019042492,6.6271772384643555
27,-0.4600000000000001,0.55,0.4888888888888889,0.6802820563316345,0.21269324113804922,0.009036233648657799,6.627471446990967
28,-0.539,0.585,0.42168674698795183,0.6355761885643005,2.4907281246825734,0.013041245751082897,6.627728462219238
29,-0.397,0.58,0.5357142857142857,0.6859400272369385,0.03105138329932783,0.011890335008502007,6.627986431121826
30,-0.303,0.545,0.6043956043956044,0.6819717884063721,0.9493074172656984,0.012098174542188644,6.628268241882324
31,-0.5770000000000001,0.58,0.39285714285714285,0.6648281812667847,1.912600861953412,0.014526470564305782,6.628382682800293
32,-0.4980000000000001,0.62,0.4473684210526316,0.6629531979560852,1.1819844349497917,0.014582921750843525,6.628419399261475
33,-0.502,0.58,0.4523809523809524,0.6642811298370361,0.9535260109969307,0.01387060061097145,6.628483295440674
34,-0.405,0.575,0.5294117647058824,0.6634260416030884,0.7613299410568275,0.012643811292946339,6.628605842590332
35,-0.5750000000000001,0.525,0.4105263157894737,0.681759774684906,1.1909833301763109,0.012725474312901497,6.6287384033203125
36,-0.4760000000000001,0.54,0.4782608695652174,0.6847057342529297,0.16866823039389606,0.011565854772925377,6.628872394561768
37,-0.5480000000000002,0.57,0.4186046511627907,0.6793737411499023,0.682446196501848,0.011535690166056156,6.629031658172607
38,-0.398,0.57,0.5348837209302325,0.6805635094642639,0.794532260162233,0.011767033487558365,6.629250526428223
39,-0.387,0.605,0.5443037974683544,0.6660360097885132,0.35121936364658846,0.010800730437040329,6.629486560821533
40,-0.5170000000000001,0.505,0.45454545454545453,0.6820995211601257,0.9555967539300146,0.01029385905712843,6.629749298095703
41,-0.5710000000000001,0.515,0.41237113402061853,0.6867431998252869,0.30065756637474433,0.00950786005705595,6.62999963760376
42,-0.4810000000000001,0.565,0.4482758620689655,0.6868743896484375,0.041040090887874164,0.008625379763543606,6.630237102508545
43,-0.44,0.6,0.5,0.6871076226234436,0.19133924447210315,0.007956180721521378,6.630475997924805
44,-0.358,0.595,0.5679012345679012,0.6810442209243774,1.0920877260455466,0.008944333530962467,6.630706310272217
45,-0.42400000000000004,0.535,0.5161290322580645,0.6722275614738464,0.6778354513193248,0.008651083335280418,6.630918502807617
46,-0.5110000000000001,0.565,0.4482758620689655,0.6789849996566772,0.15407566585095167,0.007909517735242844,6.631118297576904
47,-0.425,0.525,0.5157894736842106,0.6781567335128784,1.0580958686547157,0.009044239297509193,6.6312785148620605
48,-0.48300000000000004,0.62,0.4605263157894737,0.6603983640670776,0.34170026811759713,0.00813358835875988,6.631434917449951
49,-0.4759999999999999,0.49,0.4803921568627451,0.6608924865722656,0.8187981965241076,0.007970294915139675,6.6315999031066895
50,-0.52,0.55,0.4444444444444444,0.6690208911895752,0.7985648625648856,0.008212270215153694,6.631677150726318
