feature,lag,importance
returns,31,0.02586907148361206
log_returns,31,0.030929021537303925
sma_5,31,0.02825181372463703
sma_20,31,0.03003685548901558
ema_12,31,0.02873762883245945
ema_26,31,0.034103214740753174
ema_diff,31,0.028663229197263718
roc_5,31,0.029828689992427826
momentum_10,31,0.029927754774689674
returns,30,0.029281139373779297
log_returns,30,0.032141294330358505
sma_5,30,0.030864791944622993
sma_20,30,0.028133181855082512
ema_12,30,0.027989676222205162
ema_26,30,0.02915257401764393
ema_diff,30,0.028052208945155144
roc_5,30,0.030957819893956184
momentum_10,30,0.02585548907518387
returns,29,0.031074047088623047
log_returns,29,0.029862575232982635
sma_5,29,0.026634134352207184
sma_20,29,0.028141852468252182
ema_12,29,0.030665121972560883
ema_26,29,0.0327952615916729
ema_diff,29,0.030406620353460312
roc_5,29,0.03243151307106018
momentum_10,29,0.028842343017458916
returns,28,0.026795407757163048
log_returns,28,0.029252242296934128
sma_5,28,0.03206023946404457
sma_20,28,0.030547060072422028
ema_12,28,0.02790668234229088
ema_26,28,0.03017701581120491
ema_diff,28,0.029911035671830177
roc_5,28,0.03167013078927994
momentum_10,28,0.03023003414273262
returns,27,0.03343842551112175
log_returns,27,0.03114893287420273
sma_5,27,0.029013870283961296
sma_20,27,0.027546053752303123
ema_12,27,0.030757689848542213
ema_26,27,0.027827728539705276
ema_diff,27,0.0295424722135067
roc_5,27,0.029180768877267838
momentum_10,27,0.028168750926852226
returns,26,0.029032288119196892
log_returns,26,0.030121082440018654
sma_5,26,0.029268618673086166
sma_20,26,0.026678789407014847
ema_12,26,0.03114052303135395
ema_26,26,0.031588975340127945
ema_diff,26,0.027817364782094955
roc_5,26,0.03287247195839882
momentum_10,26,0.03380781039595604
returns,25,0.030420467257499695
log_returns,25,0.02723602205514908
sma_5,25,0.027585623785853386
sma_20,25,0.026763001456856728
ema_12,25,0.03097260184586048
ema_26,25,0.028173668310046196
ema_diff,25,0.0319804921746254
roc_5,25,0.0327661857008934
momentum_10,25,0.030211225152015686
returns,24,0.03195915371179581
log_returns,24,0.029375441372394562
sma_5,24,0.034016985446214676
sma_20,24,0.027570586651563644
ema_12,24,0.028164146468043327
ema_26,24,0.03041638806462288
ema_diff,24,0.02891675755381584
roc_5,24,0.029867591336369514
momentum_10,24,0.029708394780755043
returns,23,0.0258464515209198
log_returns,23,0.03160882368683815
sma_5,23,0.030486177653074265
sma_20,23,0.03001752682030201
ema_12,23,0.028318798169493675
ema_26,23,0.03053198754787445
ema_diff,23,0.032289568334817886
roc_5,23,0.02835194207727909
momentum_10,23,0.03429518640041351
returns,22,0.027100220322608948
log_returns,22,0.02978089638054371
sma_5,22,0.030749421566724777
sma_20,22,0.028897257521748543
ema_12,22,0.024286843836307526
ema_26,22,0.029768947511911392
ema_diff,22,0.03112662583589554
roc_5,22,0.032554108649492264
momentum_10,22,0.02942698821425438
returns,21,0.03036368265748024
log_returns,21,0.028003398329019547
sma_5,21,0.029099682345986366
sma_20,21,0.034525178372859955
ema_12,21,0.035124924033880234
ema_26,21,0.024595772847533226
ema_diff,21,0.028527436777949333
roc_5,21,0.02953345887362957
momentum_10,21,0.031618740409612656
returns,20,0.028958261013031006
log_returns,20,0.027177920565009117
sma_5,20,0.030978728085756302
sma_20,20,0.030600188300013542
ema_12,20,0.032780542969703674
ema_26,20,0.028012258931994438
ema_diff,20,0.030026139691472054
roc_5,20,0.028840262442827225
momentum_10,20,0.030689550563693047
returns,19,0.030578697100281715
log_returns,19,0.03068515472114086
sma_5,19,0.03528469800949097
sma_20,19,0.027748538181185722
ema_12,19,0.030159348621964455
ema_26,19,0.030989067628979683
ema_diff,19,0.02871183305978775
roc_5,19,0.02875550277531147
momentum_10,19,0.026761041954159737
returns,18,0.03211686760187149
log_returns,18,0.02692272700369358
sma_5,18,0.03017503023147583
sma_20,18,0.0273736584931612
ema_12,18,0.027598455548286438
ema_26,18,0.029834268614649773
ema_diff,18,0.028363237157464027
roc_5,18,0.029986480250954628
momentum_10,18,0.023306068032979965
returns,17,0.029399417340755463
log_returns,17,0.031166603788733482
sma_5,17,0.029327960684895515
sma_20,17,0.028691330924630165
ema_12,17,0.030562125146389008
ema_26,17,0.02971150167286396
ema_diff,17,0.02805638127028942
roc_5,17,0.032704249024391174
momentum_10,17,0.032015129923820496
returns,16,0.03244191035628319
log_returns,16,0.030088018625974655
sma_5,16,0.03510511294007301
sma_20,16,0.029497768729925156
ema_12,16,0.02909325249493122
ema_26,16,0.03452080860733986
ema_diff,16,0.0330236554145813
roc_5,16,0.02808990888297558
momentum_10,16,0.028535090386867523
returns,15,0.029189810156822205
log_returns,15,0.029001008719205856
sma_5,15,0.02799023874104023
sma_20,15,0.027730248868465424
ema_12,15,0.034064602106809616
ema_26,15,0.028861217200756073
ema_diff,15,0.028231041505932808
roc_5,15,0.03108382597565651
momentum_10,15,0.028912601992487907
returns,14,0.028029510751366615
log_returns,14,0.028583262115716934
sma_5,14,0.028572198003530502
sma_20,14,0.028848350048065186
ema_12,14,0.025831088423728943
ema_26,14,0.02821459248661995
ema_diff,14,0.03247201442718506
roc_5,14,0.026334380730986595
momentum_10,14,0.026919158175587654
returns,13,0.03233104571700096
log_returns,13,0.030264297500252724
sma_5,13,0.032837748527526855
sma_20,13,0.024116627871990204
ema_12,13,0.02663532644510269
ema_26,13,0.03419981524348259
ema_diff,13,0.027615008875727654
roc_5,13,0.030314581468701363
momentum_10,13,0.02872462011873722
returns,12,0.031030675396323204
log_returns,12,0.028319640085101128
sma_5,12,0.029969533905386925
sma_20,12,0.0320521704852581
ema_12,12,0.026927120983600616
ema_26,12,0.029441768303513527
ema_diff,12,0.027028262615203857
roc_5,12,0.03417739272117615
momentum_10,12,0.028906621038913727
returns,11,0.029435912147164345
log_returns,11,0.030786553397774696
sma_5,11,0.027012111619114876
sma_20,11,0.02928984723985195
ema_12,11,0.030225582420825958
ema_26,11,0.02656436897814274
ema_diff,11,0.03184179216623306
roc_5,11,0.02916688658297062
momentum_10,11,0.027583956718444824
returns,10,0.031400416046381
log_returns,10,0.029213542118668556
sma_5,10,0.02906336821615696
sma_20,10,0.027337316423654556
ema_12,10,0.03024335578083992
ema_26,10,0.029163334518671036
ema_diff,10,0.03001137636601925
roc_5,10,0.03220856934785843
momentum_10,10,0.02911749668419361
returns,9,0.0291980542242527
log_returns,9,0.03136925399303436
sma_5,9,0.027808239683508873
sma_20,9,0.027085915207862854
ema_12,9,0.0319933257997036
ema_26,9,0.027852412313222885
ema_diff,9,0.02637580782175064
roc_5,9,0.02809840813279152
momentum_10,9,0.03034089505672455
returns,8,0.02755984663963318
log_returns,8,0.02666928432881832
sma_5,8,0.03008280321955681
sma_20,8,0.0298206377774477
ema_12,8,0.029655305668711662
ema_26,8,0.029146989807486534
ema_diff,8,0.03277246654033661
roc_5,8,0.02824331447482109
momentum_10,8,0.029502635821700096
returns,7,0.030171087011694908
log_returns,7,0.030304748564958572
sma_5,7,0.02818031795322895
sma_20,7,0.02893390879034996
ema_12,7,0.025752993300557137
ema_26,7,0.031130118295550346
ema_diff,7,0.03267199546098709
roc_5,7,0.03030279651284218
momentum_10,7,0.027187351137399673
returns,6,0.02969006635248661
log_returns,6,0.030472801998257637
sma_5,6,0.03265944495797157
sma_20,6,0.02742181159555912
ema_12,6,0.03036114200949669
ema_26,6,0.034665677696466446
ema_diff,6,0.030602222308516502
roc_5,6,0.03108108602464199
momentum_10,6,0.02877051755785942
returns,5,0.029369978234171867
log_returns,5,0.02936417981982231
sma_5,5,0.028812697157263756
sma_20,5,0.0330895371735096
ema_12,5,0.03104139119386673
ema_26,5,0.03262539952993393
ema_diff,5,0.03320727497339249
roc_5,5,0.02684766612946987
momentum_10,5,0.03013738989830017
returns,4,0.0325157456099987
log_returns,4,0.03042672760784626
sma_5,4,0.031142398715019226
sma_20,4,0.030716033652424812
ema_12,4,0.02518780156970024
ema_26,4,0.03103165701031685
ema_diff,4,0.030347652733325958
roc_5,4,0.024545103311538696
momentum_10,4,0.02984624169766903
returns,3,0.030292607843875885
log_returns,3,0.030192648991942406
sma_5,3,0.028782835230231285
sma_20,3,0.026967011392116547
ema_12,3,0.03310496732592583
ema_26,3,0.023933080956339836
ema_diff,3,0.029402630403637886
roc_5,3,0.029465872794389725
momentum_10,3,0.029082147404551506
returns,2,0.02683538943529129
log_returns,2,0.030788110569119453
sma_5,2,0.03253215551376343
sma_20,2,0.029221542179584503
ema_12,2,0.029489338397979736
ema_26,2,0.029587946832180023
ema_diff,2,0.030281566083431244
roc_5,2,0.025318779051303864
momentum_10,2,0.03533921390771866
returns,1,0.028224296867847443
log_returns,1,0.030277961865067482
sma_5,1,0.027239812538027763
sma_20,1,0.03378015384078026
ema_12,1,0.029237080365419388
ema_26,1,0.0314362570643425
ema_diff,1,0.027267523109912872
roc_5,1,0.02705743908882141
momentum_10,1,0.03153548762202263
returns,0,0.032716020941734314
log_returns,0,0.02923634834587574
sma_5,0,0.030073951929807663
sma_20,0,0.032927777618169785
ema_12,0,0.02726333774626255
ema_26,0,0.02974931336939335
ema_diff,0,0.030217869207262993
roc_5,0,0.027869075536727905
momentum_10,0,0.030031073838472366
