feature,importance
atr_14,0.019856361555866897
body,0.019977162766736
ema_12,0.02003179187886417
ema_26,0.019914239179342985
ema_diff,0.020065980148501694
log_returns,0.019898581376764923
lower_wick,0.019754680281039327
momentum_10,0.020030216372106224
range,0.020247556851245463
returns,0.019833247177302837
roc_5,0.019927458313759416
rsi_14,0.019874014309607446
sma_20,0.019944878586102277
sma_5,0.0201055109500885
upper_wick,0.01983785058837384
volatility,0.020173539698589593
volatility_20,0.019675374554935843
volume,0.019899396284017712
volume_change,0.01976937265135348
volume_zscore_20,0.02011137834051624
