feature,importance
atr_14,0.01998470223043114
body,0.019747756014112383
ema_12,0.020054095366504043
ema_26,0.02016880887094885
ema_diff,0.019800151931121945
log_returns,0.019908046000637114
lower_wick,0.020248995628207922
momentum_10,0.020148855925071985
range,0.01974438747856766
returns,0.01980861008632928
roc_5,0.01989190827589482
rsi_14,0.020019417046569288
sma_20,0.019680411438457668
sma_5,0.019787714234553277
upper_wick,0.019769638660363853
volatility,0.019919027050491422
volatility_20,0.019952330039814115
volume,0.01973755902145058
volume_change,0.020077947643585503
volume_zscore_20,0.01991843990981579
