feature,lag,importance
returns,31,0.01860426552593708
log_returns,31,0.01876789703965187
volatility,31,0.01922719180583954
volatility_20,31,0.01977464370429516
range,31,0.019552186131477356
body,31,0.0194994043558836
upper_wick,31,0.019746916368603706
lower_wick,31,0.020582089200615883
volume,31,0.018228506669402122
volume_change,31,0.02056894637644291
volume_zscore_20,31,0.020385820418596268
sma_5,31,0.018001623451709747
sma_20,31,0.019750012084841728
ema_12,31,0.021009203046560287
ema_26,31,0.01918463595211506
ema_diff,31,0.01836799643933773
rsi_14,31,0.018321234732866287
roc_5,31,0.01886560581624508
momentum_10,31,0.01892870105803013
atr_14,31,0.0195712149143219
returns,30,0.020921854302287102
log_returns,30,0.01913597248494625
volatility,30,0.019943226128816605
volatility_20,30,0.01999729685485363
range,30,0.02029862441122532
body,30,0.020750900730490685
upper_wick,30,0.018921134993433952
lower_wick,30,0.021470380946993828
volume,30,0.01962212100625038
volume_change,30,0.019458800554275513
volume_zscore_20,30,0.01854126714169979
sma_5,30,0.01988430880010128
sma_20,30,0.01922481134533882
ema_12,30,0.019334759563207626
ema_26,30,0.0222825538367033
ema_diff,30,0.02053091488778591
rsi_14,30,0.02095414511859417
roc_5,30,0.01834132894873619
momentum_10,30,0.02007303759455681
atr_14,30,0.017867308109998703
returns,29,0.020646540448069572
log_returns,29,0.019771559163928032
volatility,29,0.01950095407664776
volatility_20,29,0.01947735622525215
range,29,0.020614486187696457
body,29,0.022238342091441154
upper_wick,29,0.02085891179740429
lower_wick,29,0.019968422129750252
volume,29,0.017701365053653717
volume_change,29,0.019678408280014992
volume_zscore_20,29,0.019185291603207588
sma_5,29,0.019131610170006752
sma_20,29,0.01969960331916809
ema_12,29,0.018760859966278076
ema_26,29,0.02101769670844078
ema_diff,29,0.01874576322734356
rsi_14,29,0.019228722900152206
roc_5,29,0.021952597424387932
momentum_10,29,0.019803516566753387
atr_14,29,0.01901445910334587
returns,28,0.02068064920604229
log_returns,28,0.018804337829351425
volatility,28,0.020191816613078117
volatility_20,28,0.020870281383395195
range,28,0.01922186091542244
body,28,0.019661609083414078
upper_wick,28,0.018695145845413208
lower_wick,28,0.021612323820590973
volume,28,0.020915688946843147
volume_change,28,0.02114083617925644
volume_zscore_20,28,0.01923415996134281
sma_5,28,0.02134888619184494
sma_20,28,0.019505422562360764
ema_12,28,0.01956794038414955
ema_26,28,0.020623117685317993
ema_diff,28,0.018956730142235756
rsi_14,28,0.019569827243685722
roc_5,28,0.021499820053577423
momentum_10,28,0.018917741253972054
atr_14,28,0.02175508812069893
returns,27,0.020842377096414566
log_returns,27,0.019510207697749138
volatility,27,0.018232448026537895
volatility_20,27,0.019288137555122375
range,27,0.02092696912586689
body,27,0.02001853659749031
upper_wick,27,0.019332021474838257
lower_wick,27,0.019145773723721504
