feature,importance
atr_14,0.019772102881688625
body,0.02003496588440612
ema_12,0.019776159548200667
ema_26,0.02021137927658856
ema_diff,0.019542729714885354
log_returns,0.01976772485068068
lower_wick,0.020068029407411814
momentum_10,0.019751087587792426
range,0.01988828054163605
returns,0.019822914735414088
roc_5,0.01992303552106023
rsi_14,0.020072079612873495
sma_20,0.019834775128401816
sma_5,0.01988987234653905
upper_wick,0.019862734829075634
volatility,0.019958968448918313
volatility_20,0.019982246565632522
volume,0.019800152746029198
volume_change,0.019941642123740166
volume_zscore_20,0.02001120604109019
