feature,lag,importance
returns,31,0.020683739334344864
log_returns,31,0.0206527691334486
volatility,31,0.021977758035063744
volatility_20,31,0.019746974110603333
range,31,0.0188861396163702
body,31,0.020648349076509476
upper_wick,31,0.01927114464342594
lower_wick,31,0.021498223766684532
volume,31,0.019859757274389267
volume_change,31,0.017426766455173492
volume_zscore_20,31,0.019991667941212654
sma_5,31,0.02092287689447403
sma_20,31,0.016893653199076653
ema_12,31,0.02087995409965515
ema_26,31,0.019230017438530922
ema_diff,31,0.02119431458413601
rsi_14,31,0.018732888624072075
roc_5,31,0.019647525623440742
momentum_10,31,0.020366674289107323
atr_14,31,0.019464917480945587
returns,30,0.018305880948901176
log_returns,30,0.018260180950164795
volatility,30,0.019813193008303642
volatility_20,30,0.019451137632131577
range,30,0.018927162513136864
body,30,0.0203335452824831
upper_wick,30,0.019765866920351982
lower_wick,30,0.019586721435189247
volume,30,0.020647861063480377
volume_change,30,0.020369481295347214
volume_zscore_20,30,0.022550683468580246
sma_5,30,0.016833603382110596
sma_20,30,0.021185552701354027
ema_12,30,0.017804550006985664
ema_26,30,0.020244276151061058
ema_diff,30,0.021154584363102913
rsi_14,30,0.020741812884807587
roc_5,30,0.02027786336839199
momentum_10,30,0.02153835818171501
atr_14,30,0.021092113107442856
returns,29,0.020142601802945137
log_returns,29,0.021273553371429443
volatility,29,0.020929066464304924
volatility_20,29,0.020138369873166084
range,29,0.02139635942876339
body,29,0.019450699910521507
upper_wick,29,0.01947653666138649
lower_wick,29,0.01857747510075569
volume,29,0.018866989761590958
volume_change,29,0.01843944750726223
volume_zscore_20,29,0.020930802449584007
sma_5,29,0.019169459119439125
sma_20,29,0.02144543267786503
ema_12,29,0.021061807870864868
ema_26,29,0.021966777741909027
ema_diff,29,0.01912793144583702
rsi_14,29,0.02051655203104019
roc_5,29,0.018248246982693672
momentum_10,29,0.018200067803263664
atr_14,29,0.020711936056613922
returns,28,0.019261017441749573
log_returns,28,0.01903373934328556
volatility,28,0.018564550206065178
volatility_20,28,0.0187816359102726
range,28,0.018863067030906677
body,28,0.020525407046079636
upper_wick,28,0.019548747688531876
