feature,importance
atr_14,0.01979196013417095
body,0.019827349402476102
ema_12,0.019970873778220266
ema_26,0.020237695542164147
ema_diff,0.01981655549025163
log_returns,0.01985711615998298
lower_wick,0.0201002168469131
momentum_10,0.019980957207735628
range,0.019888217735569924
returns,0.019805672927759588
roc_5,0.019902065920177847
rsi_14,0.019979432050604373
sma_20,0.01963543548481539
sma_5,0.01976014132378623
upper_wick,0.0196903960313648
volatility,0.019893950258847326
volatility_20,0.01980576734058559
volume,0.019650078902486712
volume_change,0.019769152160733938
volume_zscore_20,0.019854606012813747
