episode,train_start,train_end,val_end,online_start,window_stride,rolling_split,reward,best_reward,adaptation_good,adaptation_failures,up_last_reward,down_last_reward,decision_hold_rate,decision_action_rate,decision_action_accuracy_non_hold,decision_conflict_rate,decision_precision_up,decision_precision_down,hold_rate,action_rate,action_accuracy_non_hold,conflict_rate,precision_up,precision_down,decision_threshold,decision_delta_min,decision_scan_score,rl_up_accuracy,rl_down_accuracy,rl_up_error_balance,rl_down_error_balance,rl_up_hold_rate,rl_down_hold_rate,online_rl_up_accuracy,online_rl_down_accuracy,anchor_rl_up_accuracy,anchor_rl_down_accuracy,anchor_avg_accuracy,score_base,reward_variance,accuracy_variance,score_improve,anchor_delta,anchor_penalty,score,delta_up_accuracy,delta_down_accuracy,improve_up_accuracy,improve_down_accuracy
1,0,4944,6004,7064,50,0,0.8191449646351853,0.8191449646351853,0.0,action_accuracy_non_hold < 0.5300 (got 0.5061);hold_rate > 0.3500 (got 0.5358);precision_up < 0.5300 (got 0.5098);precision_down < 0.5100 (got 0.4878);rl_up_accuracy < 0.5200 (got 0.4934),-0.619922484844923,-0.5642192473709584,0.5358490566037736,0.4641509433962264,0.5060975609756098,0.08584905660377358,0.5097560975609756,0.4878048780487805,0.5358490566037736,0.4641509433962264,0.5060975609756098,0.08584905660377358,0.5097560975609756,0.4878048780487805,0.49,0.02,0.21473923104307582,0.4933712121212121,0.5293560606060606,0.2635514018691589,0.8269617706237424,0.3424528301886792,0.27547169811320754,0.48672566371681414,0.5221238938053098,0.48495788206979545,0.5054151624548736,0.4951865222623345,0.4100540555442762,0.0,0.0,0.40909090909090906,0.0,0.0,0.8191449646351853,0.4933712121212121,0.5293560606060606,0.4933712121212121,0.5293560606060606
2,0,4944,6004,7064,50,0,0.4318748390253909,0.8191449646351853,0.0,action_accuracy_non_hold < 0.5300 (got 0.5240);hold_rate > 0.3500 (got 0.5481);precision_down < 0.5100 (got 0.4578);rl_up_accuracy < 0.5200 (got 0.4896),-0.6692373126000166,-0.43281584951281543,0.5481132075471699,0.4518867924528302,0.524008350730689,0.035849056603773584,0.5378787878787878,0.4578313253012048,0.5481132075471699,0.4518867924528302,0.524008350730689,0.035849056603773584,0.5378787878787878,0.4578313253012048,0.49,0.02,0.2283036667853329,0.4895833333333333,0.5189393939393939,0.4025974025974026,0.8110236220472441,0.2537735849056604,0.09716981132075472,0.4907481898632341,0.5333869670152857,0.49338146811071,0.5126353790613718,0.5030084235860409,0.4318748390253909,0.0001190366479324222,8.019909741266254e-05,0.0,0.007821901323706415,0.0,0.4318748390253909,-0.0037878787878787845,-0.01041666666666663,0.0,0.0
3,0,4944,6004,7064,50,0,0.43377595869326885,0.8191449646351853,0.0,action_accuracy_non_hold < 0.5300 (got 0.5086);hold_rate > 0.3500 (got 0.5623);precision_up < 0.5300 (got 0.5080);rl_up_accuracy < 0.5200 (got 0.4735),-0.6097392179220915,-0.485,0.5622641509433962,0.4377358490566038,0.5086206896551724,0.031132075471698113,0.5080213903743316,0.5111111111111111,0.5622641509433962,0.4377358490566038,0.5086206896551724,0.031132075471698113,0.5080213903743316,0.5111111111111111,0.49,0.02,0.21571021715913133,0.4734848484848485,0.5179924242424242,0.4172661870503597,0.7917485265225933,0.2509433962264151,0.08113207547169811,0.4883346741753821,0.5382139983909895,0.48856799037304455,0.5114320096269555,0.5,0.434377643410477,0.00011933861646716516,6.266029792880555e-05,0.0,-0.0030084235860409203,0.0006016847172081841,0.43377595869326885,-0.016098484848484806,-0.0009469696969697239,0.0,0.0
4,0,4944,6004,7064,50,0,0.3986744237800311,0.8191449646351853,0.0,action_accuracy_non_hold < 0.5300 (got 0.5249);action_rate < 0.4000 (got 0.2840);hold_rate > 0.3500 (got 0.7160);precision_up < 0.5300 (got 0.5190);rl_up_accuracy < 0.5200 (got 0.4830),-0.4757800022959709,-0.5928042694628239,0.7160377358490566,0.2839622641509434,0.5249169435215947,0.005660377358490566,0.5190311418685121,0.6666666666666666,0.7160377358490566,0.2839622641509434,0.5249169435215947,0.005660377358490566,0.5190311418685121,0.6666666666666666,0.49,0.02,0.1482128871484514,0.48295454545454547,0.5293560606060606,0.5494505494505495,0.9758551307847082,0.16226415094339622,0.017924528301886792,0.4827031375703942,0.5253419147224457,0.4825511432009627,0.5114320096269555,0.4969915764139591,0.39094277516390596,0.000312581888596205,7.403157948187135e-05,0.008333333333333326,-0.0030084235860409203,0.0006016847172081841,0.3986744237800311,0.009469696969696961,0.011363636363636354,0.009469696969696961,0.011363636363636354
5,0,4944,6004,7064,50,0,0.44386246136405877,0.8191449646351853,0.0,action_accuracy_non_hold < 0.5300 (got 0.5140);hold_rate > 0.3500 (got 0.4953);precision_up < 0.5300 (got 0.5159);precision_down < 0.5100 (got 0.0000);rl_up_accuracy < 0.5200 (got 0.4953),-0.6189873115569353,-0.71,0.49528301886792453,0.5047169811320755,0.514018691588785,0.0,0.5159474671669794,0.0,0.49528301886792453,0.5047169811320755,0.514018691588785,0.0,0.5159474671669794,0.0,0.49,0.02,0.25943396226415094,0.4952651515151515,0.5255681818181818,0.21200750469043153,1.0,0.3339622641509434,0.0018867924528301887,0.48028962188254226,0.5237329042638778,0.4813477737665463,0.5114320096269555,0.49638989169675085,0.43905855588325804,0.00032924865364631565,5.979812766954498e-05,0.004924242424242409,-0.0006016847172082285,0.0001203369434416457,0.44386246136405877,0.012310606060606022,-0.0037878787878787845,0.012310606060606022,0.0
6,0,4944,6004,7064,50,0,0.40546094755233153,0.8191449646351853,0.0,action_accuracy_non_hold < 0.5300 (got 0.5131);action_rate < 0.4000 (got 0.3604);hold_rate > 0.3500 (got 0.6396);precision_up < 0.5300 (got 0.5235);precision_down < 0.5100 (got 0.4603);rl_up_accuracy < 0.5200 (got 0.4924),-0.35824331729114056,-0.4730237024128437,0.6396226415094339,0.360377358490566,0.5130890052356021,0.005660377358490566,0.5235109717868338,0.4603174603174603,0.6396226415094339,0.360377358490566,0.5130890052356021,0.005660377358490566,0.5235109717868338,0.4603174603174603,0.49,0.02,0.18385902456390174,0.49242424242424243,0.5227272727272727,0.5261194029850746,0.873015873015873,0.2179245283018868,0.038679245283018866,0.48189863234111024,0.5253419147224457,0.48495788206979545,0.5114320096269555,0.4981949458483754,0.40546094755233153,0.0003090488488706942,5.066099654330926e-05,0.0,0.0018050541516245744,0.0,0.40546094755233153,-0.0028409090909090606,-0.0028409090909090606,0.0,0.0
7,0,4944,6004,7064,50,0,0.35615101094204427,0.8191449646351853,0.0,action_accuracy_non_hold < 0.5300 (got 0.4980);action_rate < 0.4000 (got 0.2311);hold_rate > 0.3500 (got 0.7689);precision_up < 0.5300 (got 0.5260);precision_down < 0.5100 (got 0.4306);rl_up_accuracy < 0.5200 (got 0.4905),-0.575665965989232,-0.515,0.7688679245283019,0.23113207547169812,0.49795918367346936,0.0037735849056603774,0.5260115606936416,0.4305555555555556,0.7688679245283019,0.23113207547169812,0.49795918367346936,0.0037735849056603774,0.5260115606936416,0.4305555555555556,0.49,0.02,0.11466002135991456,0.49053030303030304,0.521780303030303,0.7806691449814126,0.8772277227722772,0.1179245283018868,0.05377358490566038,0.47063555913113436,0.5245374094931617,0.48856799037304455,0.5114320096269555,0.5,0.35615101094204427,0.000742865278735556,7.950604052769818e-05,0.0,0.0018050541516245744,0.0,0.35615101094204427,-0.0018939393939393923,-0.0009469696969697239,0.0,0.0
8,0,4944,6004,7064,50,0,0.32862448787155574,0.8191449646351853,0.0,action_accuracy_non_hold < 0.5300 (got 0.5000);action_rate < 0.4000 (got 0.1491);hold_rate > 0.3500 (got 0.8509);precision_up < 0.5300 (got 0.5263);precision_down < 0.5100 (got 0.4756);rl_up_accuracy < 0.5200 (got 0.4754),-0.3516083590984344,-0.350787744179368,0.8509433962264151,0.1490566037735849,0.5,0.0,0.5263157894736842,0.47560975609756095,0.8509433962264151,0.1490566037735849,0.5,0.0,0.5263157894736842,0.47560975609756095,0.49,0.02,0.07452830188679245,0.4753787878787879,0.5179924242424242,0.9133574007220217,0.8664047151277013,0.06886792452830189,0.06792452830188679,0.47144006436041835,0.5229283990345938,0.48736462093862815,0.5114320096269555,0.49939831528279177,0.3287448248149974,0.001366872635484011,8.713372200473628e-05,0.0,-0.0006016847172082285,0.0001203369434416457,0.32862448787155574,-0.015151515151515138,-0.0037878787878787845,0.0,0.0
9,0,4944,6004,7064,50,0,0.44850337487413783,0.8191449646351853,0.0,action_accuracy_non_hold < 0.5300 (got 0.4768);action_rate < 0.4000 (got 0.3858);hold_rate > 0.3500 (got 0.6142);precision_up < 0.5300 (got 0.4881);precision_down < 0.5100 (got 0.4689);rl_up_accuracy < 0.5200 (got 0.4792),-0.4848502482622862,-0.22999799706041812,0.6141509433962264,0.3858490566037736,0.4767726161369193,0.06981132075471698,0.4880952380952381,0.46887966804979253,0.6141509433962264,0.3858490566037736,0.4767726161369193,0.06981132075471698,0.4880952380952381,0.46887966804979253,0.49,0.02,0.17111961552153793,0.4791666666666667,0.5,0.6763636363636364,0.45454545454545453,0.11226415094339623,0.1179245283018868,0.4915526950925181,0.5293644408688657,0.48856799037304455,0.5210589651022864,0.5048134777376655,0.4469882233589863,0.0014369482656826278,0.0001937584385887897,0.0015151515151515138,0.005415162454873723,0.0,0.44850337487413783,0.0037878787878787845,-0.0179924242424242,0.0037878787878787845,0.0
10,0,4944,6004,7064,50,0,0.47428698699963945,0.8191449646351853,0.0,action_accuracy_non_hold < 0.5300 (got 0.4945);hold_rate > 0.3500 (got 0.5708);precision_down < 0.5100 (got 0.4823);rl_up_accuracy < 0.5200 (got 0.4820),-0.5975943900942803,-0.5405226815193891,0.5707547169811321,0.42924528301886794,0.4945054945054945,0.09150943396226414,0.576271186440678,0.4823232323232323,0.5707547169811321,0.42924528301886794,0.4945054945054945,0.09150943396226414,0.576271186440678,0.4823232323232323,0.49,0.02,0.19283997864008545,0.48200757575757575,0.5151515151515151,0.8171846435100548,0.203125,0.11886792452830189,0.1009433962264151,0.48431214802896216,0.5116653258246179,0.48856799037304455,0.5174488567990373,0.5030084235860409,0.46745102813299466,0.0016459498237911645,0.0001890600728775656,0.00719696969696968,-0.0018050541516245744,0.0003610108303249149,0.47428698699963945,0.0028409090909090606,0.015151515151515138,0.0028409090909090606,0.015151515151515138
