episode,reward,best_reward,adaptation_good,adaptation_failures,up_last_reward,down_last_reward,reset_to_best,decision_hold_rate,decision_action_rate,decision_action_accuracy_non_hold,decision_conflict_rate,decision_precision_up,decision_precision_down,decision_up_rate,decision_down_rate,decision_down_share,hold_rate,action_rate,action_accuracy_non_hold,conflict_rate,precision_up,precision_down,up_rate,down_rate,down_share,decision_hold_rate_trend,decision_action_rate_trend,decision_action_accuracy_non_hold_trend,decision_conflict_rate_trend,decision_precision_up_trend,decision_precision_down_trend,decision_up_rate_trend,decision_down_rate_trend,decision_down_share_trend,hold_rate_trend,action_rate_trend,action_accuracy_non_hold_trend,conflict_rate_trend,precision_up_trend,precision_down_trend,up_rate_trend,down_rate_trend,down_share_trend,decision_hold_rate_flat,decision_action_rate_flat,decision_action_accuracy_non_hold_flat,decision_conflict_rate_flat,decision_precision_up_flat,decision_precision_down_flat,decision_up_rate_flat,decision_down_rate_flat,decision_down_share_flat,hold_rate_flat,action_rate_flat,action_accuracy_non_hold_flat,conflict_rate_flat,precision_up_flat,precision_down_flat,up_rate_flat,down_rate_flat,down_share_flat,rl_up_accuracy,rl_down_accuracy,rl_up_error_balance,rl_down_error_balance,rl_up_hold_rate,rl_down_hold_rate,score_base,score_improve,score,delta_up_accuracy,delta_down_accuracy,improve_up_accuracy,improve_down_accuracy,drift_score
1,0.007149801085764962,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.1899);hold_rate > 0.3500 (got 0.8101);precision_down < 0.4900 (got 0.0000),-0.39439850150048733,-0.585,0,0.8100961538461539,0.18990384615384615,0.5485232067510548,0.0,0.5485232067510548,0.0,1.0,0.0,0.0,0.8100961538461539,0.18990384615384615,0.5485232067510548,0.0,0.5485232067510548,0.0,1.0,0.0,0.0,0.8100961538461539,0.18990384615384615,0.5485232067510548,0.0,0.5485232067510548,0.0,1.0,0.0,0.0,0.8100961538461539,0.18990384615384615,0.5485232067510548,0.0,0.5485232067510548,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5200320512820513,0.5152243589743589,0.989983305509182,1.0,0.03125,0.0,-0.40695276301679917,0.41410256410256413,0.007149801085764962,0.5200320512820513,0.5152243589743589,0.5200320512820513,0.5152243589743589,0.0
2,-0.38280833622463484,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.1771);hold_rate > 0.3500 (got 0.8229);precision_down < 0.4900 (got 0.0000);rl_up_accuracy < 0.5000 (got 0.4984),-0.6040834222584963,-0.225,1,0.8229166666666666,0.17708333333333334,0.5294117647058824,0.0,0.5294117647058824,0.0,1.0,0.0,0.0,0.8229166666666666,0.17708333333333334,0.5294117647058824,0.0,0.5294117647058824,0.0,1.0,0.0,0.0,0.8229166666666666,0.17708333333333334,0.5294117647058824,0.0,0.5294117647058824,0.0,1.0,0.0,0.0,0.8229166666666666,0.17708333333333334,0.5294117647058824,0.0,0.5294117647058824,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4983974358974359,0.5152243589743589,0.5910543130990416,1.0,0.12980769230769232,0.00641025641025641,-0.38280833622463484,0.0,-0.38280833622463484,-0.02163461538461542,0.0,0.0,0.0,0.0
3,-0.5990521033076475,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0312);hold_rate > 0.3500 (got 0.9688);precision_down < 0.4900 (got 0.0000),-0.6507935681045055,-0.56,1,0.96875,0.03125,0.5128205128205128,0.0,0.5128205128205128,0.0,1.0,0.0,0.0,0.96875,0.03125,0.5128205128205128,0.0,0.5128205128205128,0.0,1.0,0.0,0.0,0.96875,0.03125,0.5128205128205128,0.0,0.5128205128205128,0.0,1.0,0.0,0.0,0.96875,0.03125,0.5128205128205128,0.0,0.5128205128205128,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5160256410256411,0.5176282051282052,0.8344370860927153,0.9933554817275747,0.23958333333333334,0.032852564102564104,-0.6070649238204681,0.008012820512820575,-0.5990521033076475,0.017628205128205177,0.0024038461538462563,0.017628205128205177,0.0024038461538462563,0.0
4,-0.3794680961972749,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.2340);hold_rate > 0.3500 (got 0.7660);precision_down < 0.4900 (got 0.0000),-0.4117236764281988,-0.3875595516562462,1,0.7660256410256411,0.23397435897435898,0.5684931506849316,0.0,0.5684931506849316,0.0,1.0,0.0,0.0,0.7660256410256411,0.23397435897435898,0.5684931506849316,0.0,0.5684931506849316,0.0,1.0,0.0,0.0,0.7660256410256411,0.23397435897435898,0.5684931506849316,0.0,0.5684931506849316,0.0,1.0,0.0,0.0,0.7660256410256411,0.23397435897435898,0.5684931506849316,0.0,0.5684931506849316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5120192307692307,0.5136217948717948,0.9704433497536946,0.8154859967051071,0.02403846153846154,0.15224358974358973,-0.3794680961972749,0.0,-0.3794680961972749,-0.004006410256410353,-0.004006410256410353,0.0,0.0,0.0
5,-0.5339638534054778,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0561);hold_rate > 0.3500 (got 0.9439);precision_down < 0.4900 (got 0.0000),-0.49684892193973057,-0.63,1,0.9439102564102564,0.05608974358974359,0.5285714285714286,0.0,0.5285714285714286,0.0,1.0,0.0,0.0,0.9439102564102564,0.05608974358974359,0.5285714285714286,0.0,0.5285714285714286,0.0,1.0,0.0,0.0,0.9439102564102564,0.05608974358974359,0.5285714285714286,0.0,0.5285714285714286,0.0,1.0,0.0,0.0,0.9439102564102564,0.05608974358974359,0.5285714285714286,0.0,0.5285714285714286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5264423076923077,0.5152243589743589,0.7461928934010152,1.0,0.21474358974358973,0.0,-0.5403741098157342,0.006410256410256433,-0.5339638534054778,0.014423076923076983,0.0016025641025640969,0.014423076923076983,0.0016025641025640969,0.0
6,-0.47163436949044346,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.1074);hold_rate > 0.3500 (got 0.8926);precision_down < 0.4900 (got 0.0000),-0.4132546461969614,-0.44,1,0.8926282051282052,0.10737179487179487,0.582089552238806,0.0,0.582089552238806,0.0,1.0,0.0,0.0,0.8926282051282052,0.10737179487179487,0.582089552238806,0.0,0.582089552238806,0.0,1.0,0.0,0.0,0.8926282051282052,0.10737179487179487,0.582089552238806,0.0,0.582089552238806,0.0,1.0,0.0,0.0,0.8926282051282052,0.10737179487179487,0.582089552238806,0.0,0.582089552238806,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5096153846153846,0.5152243589743589,0.8758169934640523,0.996694214876033,0.10256410256410256,0.009615384615384616,-0.47163436949044346,0.0,-0.47163436949044346,-0.016826923076923128,0.0,0.0,0.0,0.0
7,-0.4935795684408772,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0329);hold_rate > 0.3500 (got 0.9671);precision_down < 0.4900 (got 0.0000),-0.5347260714769363,-0.5420941924452782,1,0.9671474358974359,0.032852564102564104,0.6341463414634146,0.0,0.6341463414634146,0.0,1.0,0.0,0.0,0.9671474358974359,0.032852564102564104,0.6341463414634146,0.0,0.6341463414634146,0.0,1.0,0.0,0.0,0.9671474358974359,0.032852564102564104,0.6341463414634146,0.0,0.6341463414634146,0.0,1.0,0.0,0.0,0.9671474358974359,0.032852564102564104,0.6341463414634146,0.0,0.6341463414634146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5040064102564102,0.5176282051282052,0.5411954765751211,0.9966777408637874,0.23557692307692307,0.01842948717948718,-0.4945411069024157,0.0009615384615385026,-0.4935795684408772,-0.005608974358974339,0.0024038461538462563,0.0,0.0024038461538462563,0.0
8,-0.5210858164882933,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0080);hold_rate > 0.3500 (got 0.9920);precision_down < 0.4900 (got 0.0000);rl_up_accuracy < 0.5000 (got 0.4976),-0.5701912384480239,-0.5327150534242392,1,0.9919871794871795,0.008012820512820512,0.7,0.0,0.7,0.0,1.0,0.0,0.0,0.9919871794871795,0.008012820512820512,0.7,0.0,0.7,0.0,1.0,0.0,0.0,0.9919871794871795,0.008012820512820512,0.7,0.0,0.7,0.0,1.0,0.0,0.0,0.9919871794871795,0.008012820512820512,0.7,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49759615384615385,0.5096153846153846,0.40669856459330145,0.9673202614379085,0.3717948717948718,0.06330128205128205,-0.5210858164882933,0.0,-0.5210858164882933,-0.0064102564102563875,-0.008012820512820595,0.0,0.0,0.0
9,-0.5044624055493622,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.0721);hold_rate > 0.3500 (got 0.9279);precision_down < 0.4900 (got 0.0000),-0.4944048265218734,-0.56,1,0.9278846153846154,0.07211538461538461,0.5555555555555556,0.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.9278846153846154,0.07211538461538461,0.5555555555555556,0.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.9278846153846154,0.07211538461538461,0.5555555555555556,0.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.9278846153846154,0.07211538461538461,0.5555555555555556,0.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5024038461538461,0.5152243589743589,0.7520128824476651,1.0,0.17307692307692307,0.0,-0.5086290722160288,0.004166666666666652,-0.5044624055493622,0.004807692307692291,0.005608974358974339,0.004807692307692291,0.005608974358974339,0.0
10,-0.23555333573322332,0.007149801085764962,0.0,action_rate < 0.4000 (got 0.3766);hold_rate > 0.3500 (got 0.6234);precision_down < 0.4900 (got 0.0000),-0.5101154856681823,-0.51,1,0.6233974358974359,0.3766025641025641,0.548936170212766,0.0,0.548936170212766,0.0,1.0,0.0,0.0,0.6233974358974359,0.3766025641025641,0.548936170212766,0.0,0.548936170212766,0.0,1.0,0.0,0.0,0.6233974358974359,0.3766025641025641,0.548936170212766,0.0,0.548936170212766,0.0,1.0,0.0,0.0,0.6233974358974359,0.3766025641025641,0.548936170212766,0.0,0.548936170212766,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5200320512820513,0.5152243589743589,0.9699499165275459,1.0,0.055288461538461536,0.0016025641025641025,-0.2426046177845054,0.007051282051282071,-0.23555333573322332,0.017628205128205177,0.0,0.017628205128205177,0.0,0.0
